#AÑO,CODECOCONC,NOMCONCEPT,Inicial,Modifica,Actual,DRNeto
2018.0,34100,CENTRO DE ESTANCIAS DIURNAS,46000.0,0.0,46000.0,11441.85
2018.0,34101,TELEASISTENCIA,16000.0,0.0,16000.0,4857.95
2018.0,34109,C.E DIURNAS FVA,0.0,0.0,0.0,141.94
2018.0,34200,P.P. ESCUELA INFANTIL,220000.0,0.0,220000.0,96382.16
2018.0,34201,CUOTAS ESCUELA DE MUSICA,35000.0,0.0,35000.0,12824.0
2018.0,34202,CUOTAS EDUCAVERANO,23000.0,0.0,23000.0,-35.0
2018.0,34203,"PROGRAMA ""UN RATITO MAS""",20000.0,20183.63,40183.63,22205.5
2018.0,34204,CURSOS MANIPULADOR ALIMENTOS,1.0,0.0,1.0,0.0
2018.0,34205,PROXIMIDAD,0.0,0.0,0.0,47.76
2018.0,34209,E.INFANTIL FVA,0.0,0.0,0.0,222.0
2018.0,34211,E.MUSICA FVA,0.0,0.0,0.0,30.0
2018.0,34213,UN RATITO MAS FVA,0.0,0.0,0.0,16.0
2018.0,34215,PROXIMIDAD FVA,0.0,0.0,0.0,12.0
2018.0,34300,ESCUELAS DEPORTIVAS,222000.0,0.0,222000.0,99163.29
2018.0,34301,OTRAS INSTALACIONES,1000.0,0.0,1000.0,0.0
2018.0,34302,INSTALACIONES DEPORTIVAS,79000.0,0.0,79000.0,18671.65
2018.0,34303,P.P. PARKING MUNICIPAL,62000.0,0.0,62000.0,35759.38
2018.0,34304,HUERTOS ECOLOGICOS,5000.0,0.0,5000.0,2840.0
2018.0,34305,HUERTOS ECOLOGICOS FVA,0.0,0.0,0.0,48.0
2018.0,34400,"TAQUILLA MUSICA, CINE",2000.0,0.0,2000.0,0.0
2018.0,34401,TAQUILLA TEATRO,17000.0,0.0,17000.0,5923.0
2018.0,34402,TALLERES ,9000.0,0.0,9000.0,3738.0
2018.0,34404,VISITAS GUIADAS,1000.0,0.0,1000.0,0.0
2018.0,34405,TALLERES TIEMPO LIBRE Mº AMBIENTE,0.0,0.0,0.0,804.0
2018.0,34409,TALLERES FVA,0.0,0.0,0.0,20.0
2018.0,34701,ENLACES MATRIMONIALES,1000.0,0.0,1000.0,945.0
2018.0,35000,COMP.ZONA 17-01,0.0,0.0,0.0,9268.89
2018.0,35009,COMP. ZONA 17-01 FRACCIONAMIENTOS,0.0,0.0,0.0,2628.43
2018.0,38900,REINTEGROS DE EJERCICIOS CERRADOS,0.0,0.0,0.0,4054.59
2018.0,39100,MULTAS INFRACCIONES URBANISTICAS,122000.0,0.0,122000.0,175995.0
2018.0,39109,INFRACCION URB FVA,0.0,0.0,0.0,18359.44
2018.0,39120,MULTAS CIRCULACION,99000.0,0.0,99000.0,115116.68
2018.0,39121,SANCIONES RADAR,5000.0,850.0,5850.0,0.0
2018.0,39129,MULTAS FVA,0.0,0.0,0.0,2870.53
2018.0,39190,OTRAS MULTAS Y SANCIONES,60000.0,0.0,60000.0,69960.83
2018.0,39199,OTRAS MULTAS FVA,0.0,0.0,0.0,3656.11
2018.0,39210,RECARGO EJECUTIVO Y COSTAS,123000.0,0.0,123000.0,46946.18
2018.0,39300,INTERESES DE DEMORA,193000.0,0.0,193000.0,27987.84
2018.0,39309,INTERESES DE DEMORA FVA,0.0,0.0,0.0,19.68
2018.0,39600,ACTUACIONES URBANISTICAS,1000.0,0.0,1000.0,0.0
2018.0,39610,CUOTAS URBANIZ.. U.A. Bº. LOS DOLORES-BORDE PRAICO,0.0,109178.97,109178.97,0.0
2018.0,39709,APROVECHAMIENTOS URBANISTICOS FVA,0.0,0.0,0.0,10886.64
2018.0,39900,RECURSOS EVENTUALES,1000.0,0.0,1000.0,2533.0
2018.0,39901,RECURSOS EVENTUALES FVA,0.0,0.0,0.0,154.03
2018.0,39902,EJECUCION DE FIANZAS,0.0,0.0,0.0,117.37
2018.0,39904,EJECUCIONES SUBSIDIARIAS,2.0,2685.6,2687.6,29436.36
2018.0,39907,No usar. es de 2017,0.0,5984.96,5984.96,5984.96
2018.0,39908,EJECUCIONES SUBSIDIARIAS 2018 (B.M.N.),1.0,219215.77,219216.77,0.0
2018.0,39909,EJECUCIONES SUBSID.FVA,0.0,0.0,0.0,136.61
2018.0,42000,PARTICIPACION TRIBUTOS ESTADO (F.N.C.M.),4000000.0,0.0,4000000.0,1410651.03
2018.0,42005,DEL SEF (ARQUEOLOGIA Y ARQUITEC.DEL AGUA),0.0,118018.11,118018.11,118018.11
2018.0,42020,COMPENSACION IAE,124000.0,0.0,124000.0,83230.1
2018.0,45002,C.ATENCION TEMPRANA Y C. OCUPACIONAL,52134.0,0.0,52134.0,0.0
2018.0,45003,MTO CENTRO DIA DISCAPACITADOS,234499.0,0.0,234499.0,0.0
2018.0,45004,ATENCION PRIMARIA S.S.P.BASICAS.DEPENDENCIAS.INCLU,236462.0,0.0,236462.0,36030.0
2018.0,45005,AYUDA A DOMICILIO PERSONAS DEPENDIENTES,163782.08,0.0,163782.08,66978.21
2018.0,45006,PROGRAMA DEPENDENCIAS,18680.0,15051.0,33731.0,15051.0
2018.0,45007,PERSONAL PUNTO ATENCION ESPECIALIZADO CAVI,39881.71,0.0,39881.71,0.0
2018.0,45008,ACTUACIONES DE APOYO A LA FAMILIA E INFANCIA,0.0,0.0,0.0,7669.71
2018.0,45012,CTRO DE DIA MAYORES,247665.0,0.0,247665.0,118412.02
2018.0,45050,SERVICIOS GARANTIA JUVENIL,0.0,0.0,0.0,-3459.16
2018.0,45054,PLAN SEGURIDAD CIUDADANA UESCARM,300000.0,0.0,300000.0,0.0
2018.0,45055,CURSO OPERAC. AUXILIARES DE SERV. ADMTVOS. AC-2017,0.0,25740.0,25740.0,6435.0
2018.0,45056,FUNCIONAMIENTO CENTRO LOCAL EMPLEO,0.0,0.0,0.0,0.0
2018.0,45058,INTERESES CAMPO DE FUTBOL,0.0,0.0,0.0,0.0
2018.0,47000,CONVENIO ECOEMBES,1.0,0.0,1.0,0.0
2018.0,47001,COLABORAC. EL CIRUELO PARA PABELLON ZONA PRAICO,0.0,1380000.0,1380000.0,0.0
2018.0,47002,COLABORACION EMPRESAS,1.0,0.0,1.0,350.0
2018.0,47004,COLABORACIONES P.I.T.,1.0,0.0,1.0,2645.0
2018.0,48000,ACTIVIDADES DIA DE LA MUJER,1.0,4748.0,4749.0,6578.0
2018.0,52000,INTERESES DE DEPOSITOS,1000.0,0.0,1000.0,184.29
2018.0,54000,ALQUILER INSTALACIONES,0.0,0.0,0.0,5020.76
2018.0,54001,CONCESIONES DEMANIALES,30000.0,0.0,30000.0,0.0
2018.0,54100,ALQUILER SUELO MPAL,0.0,0.0,0.0,7085.91
2018.0,59900,OTROS INGRESOS PATRIMONIALES,1.0,0.0,1.0,0.0
2018.0,59901,CANON SOCAMEX OTROS INGRESOS PATRIMONIALES,0.0,0.0,0.0,31108.25
2018.0,72001,IMPLANTACION RECOGIDA BIORESIDUOS,76392.0,0.0,76392.0,0.0
2018.0,75005,AMORTIZACION CAMPO CESPED ARTIFICAL,26818.18,0.0,26818.18,26818.18
2018.0,75012,RENOVAC. TEJADOS Y ADECUAC. ACCESOS MERCADO ABASTO,0.0,20000.0,20000.0,20000.0
2018.0,75013,COMPRA DE ASEOS PARA MERCADILLO AMBULANTE,0.0,14000.0,14000.0,14000.0
2018.0,75014,REPARACION PISTA ATLETISMO,0.0,100000.0,100000.0,100000.0
2018.0,75016,PISTA DE PADEL POLIDEP.PRAICO,0.0,0.0,0.0,4003.9
2018.0,87000,REMANENTE DE TESORERIA PARA GASTOS GENERALES,0.0,1306812.72,1306812.72,0.0
2018.0,87010,REMANENTE DE TESORERIA PARA GASTOS CON FINANC. AFE,0.0,4566543.06,4566543.06,0.0
2018.0,11409,IBI CARAC.ESPECIALES FRACCIONAMIENTOS,0.0,0.0,0.0,0.0
2018.0,32609,DEPOSITO Y RETIRADA VEHICULOS FRACCIONAMIENTOS,0.0,0.0,0.0,0.0
2018.0,33109,VADOS FVA,0.0,0.0,0.0,0.0
2018.0,33212,PLAZA FVA,0.0,0.0,0.0,0.0
2018.0,33409,ZANJAS Y ESCOMBROS FVA,0.0,0.0,0.0,0.0
2018.0,33609,PUESTOS FERIA FVA,0.0,0.0,0.0,0.0
2018.0,33909,PLACA VADOS FVA,0.0,0.0,0.0,0.0
2018.0,34212,EDUCAVERANO FVA,0.0,0.0,0.0,0.0
2018.0,34214,CURSOS MANIPULADOR FVA,0.0,0.0,0.0,0.0
2018.0,39211,RECARGO APREMIO FVA,0.0,0.0,0.0,0.0
2018.0,39700,APROVECHAMIENTOS URBANISTICOS. PROYECTOS DE GASTO,0.0,0.0,0.0,0.0
2018.0,39703,APROVECHAMIENTOS URBANISTICOS POLARIS,0.0,0.0,0.0,0.0
2018.0,40000,Recursos Ordinarios Financiadores de Proyectos,0.0,0.0,0.0,0.0
2018.0,42100,MANT. ESPACIOS PUBLICOS 2017 1ª Y 2ª FASE. S.E.P.E,0.0,0.0,0.0,0.0
2018.0,45051,CURSO OPERAC. AUX.SERV.ADMTVO. 2013,0.0,0.0,0.0,0.0
2018.0,45052,PROGRAMA MIXTO DE EMPLEO 2014,0.0,0.0,0.0,0.0
2018.0,49000,"PROYECTO ""ACELERADORA DEL EMPRENDEDOR""",0.0,0.0,0.0,0.0
2018.0,54009,ALQUILER INSTALACIONES FVA,0.0,0.0,0.0,0.0
2018.0,54101,LOCAL ALKASSAR (CONDADO DE ALHAMA),0.0,0.0,0.0,0.0
2018.0,54109,ALQUILER SUELO (FVA),0.0,0.0,0.0,0.0
2018.0,54900,VIVIENDAS SOCIALES,0.0,0.0,0.0,0.0
2018.0,54909,VIVIENDAS SOCIALES (FVA),0.0,0.0,0.0,0.0
2018.0,70000,Recursos Ordinarios Financiadores de Proyectos,0.0,0.0,0.0,0.0
