#codeconcept,nomconcept,iniciales,modificados,definitivos,reconocidos
48000,ACTIVIDADES CONCEJALIA MUJER,5100,557,5657,5657
48002,CUOTAS COLAB.ARR.FACHADAS BERRO 2005,0,0,0,982.44
52000,INTERESES DE DEPOSITOS,29000,0,29000,35477.12
54100,ARRTO.FINCAS URBANAS,18000,0,18000,52542.22
54900,ARRENDAMIENTO DE VIVIENDAS SOCIALES,0,0,0,4225.54
55000,CONCESIONES ADMINISTRATIVAS,30400,0,30400,1985.36
55201,VENTA PUBLICACIONES MEDIO AMBIENTE,2000,0,2000,0
59900,OTROS INGRESOS PATRIMONIALES,0,567,567,0
60000,ENAJENACION TERRENOS,495000,0,495000,0
75001,PAVIMENTACIONES C/FEDERICO SERVET,0,0,0,101802.08
75002,SUBV.CARM.INSTALACIONES ENERGIA RENOVABLE,30000,0,30000,0
75003,SUBV.LEADER OBRAS EN MORIANA,22339.22,0,22339.22,0
75004,SUBV. OBRAS JARRO DE ORO,138253.9,0,138253.9,0
75005,AMORTIZACION CAMPO CESPED ARTIFICAL,26818.18,0,26818.18,26818.18
75006,LEADER. DESARROLLO RURAL CAMINO LOS MOLINOS,0,0,0,51090
75011,ACONDIC.JARDIN PATOS Y C/FERIA 2008,0,0,0,-15075.78
75016,PAVIMENTACION C/ CAÑADAS Y OTR. POS 2010,0,0,0,0
75100,I.V.S. REPARAC.VIVIENDAS PROMOC.PUBLI(2010),0,0,0,-156.94
87000,REMANENTE DE TESORERIA PARA GASTOS GENERALES,0,2280949.62,2280949.62,0
#,,"  24,039,591.23   ","  2,305,620.03   ","  26,345,211.26   ","  20,295,682.26   "
