#a,b,c,d,e,Código de Concepto,g,Descripción,Inicial,Modific.,Actual,l,m,n,o,p,q,r,s,DR Netos
,,,,,33500,,MESAS Y SILLAS,0,0,0,,,,,,,,,473.43
,,,,,33800,,COMPENSACION TELEFONICA ESPAÑA S.A.,30000,0,30000,,,,,,,,,29551.87
,,,,,33900,,TASA PLACA VADOS,1500,0,1500,,,,,,,,,684.5
,,,,,34000,,AYUDA A DOMICILIO,2270.15,0,2270.15,,,,,,,,,786.5
,,,,,34001,,AYUDA A DOMICILIO PERSONAS DEPEND. (SAA,71309,0,71309,,,,,,,,,29890.85
,,,,,34100,,CENTRO DE ESTANCIAS DIURNAS,23011.68,0,23011.68,,,,,,,,,15464.36
,,,,,34101,,TELEASISTENCIA,19408.96,0,19408.96,,,,,,,,,10464.45
,,,,,34102,,CENTRO DE DÍA DISCAPACITADOS,500,0,500,,,,,,,,,1169.96
,,,,,34109,,C.E DIURNAS FVA,250,0,250,,,,,,,,,0
,,,,,34200,,P.P. ESCUELA INFANTIL,149000,0,149000,,,,,,,,,108709.5
,,,,,34201,,CUOTAS ESCUELA DE MUSICA,9000,0,9000,,,,,,,,,0
,,,,,34202,,CUOTAS EDUCAVERANO,39000,0,39000,,,,,,,,,35700.7
,,,,,34203,,"PROGRAMA ""UN RATITO MAS""",38812,6805.96,45617.96,,,,,,,,,15251.85
,,,,,34209,,E.INFANTIL FVA,0,0,0,,,,,,,,,824.87
,,,,,34213,,UN RATITO MAS FVA,0,0,0,,,,,,,,,0
,,,,,34300,,ESCUELAS DEPORTIVAS,157303.41,0,157303.41,,,,,,,,,41816.36
,,,,,34302,,INSTALACIONES DEPORTIVAS,69000,0,69000,,,,,,,,,56589.29
,,,,,34303,,P.P. PARKING MUNICIPAL,56000,0,56000,,,,,,,,,44562.81
,,,,,34304,,HUERTOS ECOLOGICOS,5872,0,5872,,,,,,,,,4480
,,,,,34401,,TAQUILLA TEATRO,7559,0,7559,,,,,,,,,4588
,,,,,34404,,VISITAS GUIADAS,1600,0,1600,,,,,,,,,105
,,,,,34701,,ENLACES MATRIMONIALES,1500,0,1500,,,,,,,,,1785
,,,,,35000,,COMP.ZONA 17-01,11250,0,11250,,,,,,,,,19103.4
,,,,,36000,,VENTA ELECTRICIDAD INST. FOTOVOLTAICA,0,0,0,,,,,,,,,419.82
,,,,,38900,,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,,,,,,,,,30022.17
,,,,,39100,,MULTAS INFRACCIONES URBANISTICAS,135000,0,135000,,,,,,,,,101323.16
,,,,,39109,,INFRACCION URB FVA,15260.43,0,15260.43,,,,,,,,,6301.4
,,,,,39120,,MULTAS CIRCULACION,260000,0,260000,,,,,,,,,238696.8
,,,,,39121,,SANCIONES RADAR,15000,0,15000,,,,,,,,,0
,,,,,39129,,MULTAS FVA,2010.65,0,2010.65,,,,,,,,,1302.6
,,,,,39190,,OTRAS MULTAS Y SANCIONES,71328.36,0,71328.36,,,,,,,,,122212.87
,,,,,39199,,OTRAS MULTAS FVA,5000,0,5000,,,,,,,,,6803.3
,,,,,39210,,RECARGO EJECUTIVO Y COSTAS,145000,0,145000,,,,,,,,,113262.12
,,,,,39300,,INTERESES DE DEMORA,125000,0,125000,,,,,,,,,-59669.77
,,,,,39309,,INTERESES DE DEMORA FVA,0,0,0,,,,,,,,,1.59
,,,,,39700,,CUOTAS URB.P.P. MESANA ELPOZO,206065.79,0,206065.79,,,,,,,,,0
,,,,,39800,,INDEMNIZACIONES,0,0,0,,,,,,,,,7797.3
,,,,,39900,,RECURSOS EVENTUALES,20000,0,20000,,,,,,,,,5045.86
,,,,,42000,,PARTICIPACION TRIBUTOS ESTADO (F.N.C.M.),5155239.05,0,5155239.05,,,,,,,,,3436826.08
,,,,,42004,,COMPENSACION SUM INF SII-IVA LIQ 2017,124129.07,0,124129.07,,,,,,,,,124129.07
,,,,,42020,,COMPENSACION IAE,256686.74,0,256686.74,,,,,,,,,179215.12
,,,,,42021,,COMPENSACIÓN COOPERATIVAS,0,0,0,,,,,,,,,5286.49
,,,,,42090,,SUB VENCION PACTO VIOLENCIA DE GENERO 22-23,6714.78,14949.99,21664.77,,,,,,,,,0
,,,,,42100,,CONSEJOS COMARCALES 19,0,0,0,,,,,,,,,-8974.64
,,,,,42106,,CONSEJOS COMARCALES 2022-2023,0,203197.45,203197.45,,,,,,,,,0
,,,,,45002,,C.ATENCION TEMPRANA Y C. OCUPACIONAL,54483,0,54483,,,,,,,,,54483
,,,,,45003,,MTO CENTRO DIA DISCAPACITADOS,337631,0,337631,,,,,,,,,200088.9
,,,,,45004,,ATENCION PRIMARIA S.S.P.BASICAS.DEPENDENCIAS.INCLU,293218,0,293218,,,,,,,,,0
,,,,,45005,,AYUDA A DOMICILIO PERSONAS DEPENDIENTES,320935,0,320935,,,,,,,,,168909.68
,,,,,45007,,PERSONAL CAVI ATT. MUJERES VIOLENCIA GENERO 21-22,96139.18,0,96139.18,,,,,,,,,96139.18
,,,,,45008,,ACTUACIONES DE APOYO A LA FAMILIA E INFA,41696.61,0,41696.61,,,,,,,,,0
,,,,,45010,,MATERIAL COVID INSTALACIONES DEPORTIVAS,0,0,0,,,,,,,,,5500
,,,,,45011,,REDACC. PROYECTO JARDIN DE LLUVIA Y VERTICALES,0,0,0,,,,,,,,,0
,,,,,45012,,CTRO DE DIA MAYORES,247665,0,247665,,,,,,,,,174995.86
,,,,,45013,,PLAN CORRESPONSABLES 2022,0,0,0,,,,,,,,,141810.24
,,,,,45016,,PROGRAMA MPAL. DE IGUALDAD-PACTO ESTADO 2020,9500,0,9500,,,,,,,,,0
,,,,,45017,,PREVENCION ADICCIONES,4718,0,4718,,,,,,,,,4718
,,,,,45019,,SERVICIO CONCILIACION,16856,0,16856,,,,,,,,,0
,,,,,45020,,PROYECTO ALBURA ATENCION POBLACIÓN VULNERABLE,0,125003,125003,,,,,,,,,41841
,,,,,45030,,ATENCION PRIMARIA SITUACIONES COVID 21-22,50000,0,50000,,,,,,,,,0
,,,,,45050,,SERVICIOS GARANTIA JUVENIL PO FSE,22165,0,22165,,,,,,,,,21782
,,,,,45052,,SERVICIO GARANTIA JUVENIL POEJ,21278.4,0,21278.4,,,,,,,,,20210.45
,,,,,45054,,PLAN SEGURIDAD CIUDADANA UESCARM,237500,0,237500,,,,,,,,,0
,,,,,45058,,PO-FSE 20,0,0,0,,,,,,,,,-333.36
,,,,,45060,,PLAN INFORMUR,6500,0,6500,,,,,,,,,0
,,,,,45061,,IMPULSO PEQUEÑO Y MED.COMERCIO COVID 19 BONOS,20000,0,20000,,,,,,,,,-1457.41
,,,,,45064,,DROGODEPENDENCIAS 19,0,0,0,,,,,,,,,-322.24
,,,,,47001,,COLABORACIONES FERIA,3600,0,3600,,,,,,,,,1100
,,,,,47005,,COLABORACIONES SEMANA FLAMENCA,4000,0,4000,,,,,,,,,0
,,,,,48000,,ACTIVIDADES DIA DE LA MUJER,2998,0,2998,,,,,,,,,1755
,,,,,54001,,CONCESIONES DEMANIALES,1300,0,1300,,,,,,,,,664.43
,,,,,54002,,OCUP.VIA P.GARAJE AMERICAS,504,0,504,,,,,,,,,504
,,,,,54101,,CANON POR ARRENDAMIENTO BAJOS DE CONDADO ALHAMA,11830.11,0,11830.11,,,,,,,,,0
,,,,,54201,,CANON ARRENDAMIENTO PARCELA RUSTICA ORANGE,6879.92,0,6879.92,,,,,,,,,1761.09
,,,,,55011,,CAMPING SIERRA ESPUÑA,3519.4,0,3519.4,,,,,,,,,0
,,,,,55026,,ANTENA VODAFONE,4197.48,0,4197.48,,,,,,,,,0
,,,,,55027,,CANON MERCADILLO POLARIS,3263.05,0,3263.05,,,,,,,,,3540.85
,,,,,59900,,OTROS INGRESOS PATRIMONIALES,0,0,0,,,,,,,,,2443.73
,,,,,75003,,ITINERARIO URBANO SALUDABLE PALMERAL 18,0,0,0,,,,,,,,,-201.45
,,,,,75004,,LEADER CENTRO FORMACION AGROTURISTICO EN EL BERRO,0,142000,142000,,,,,,,,,0
,,,,,75005,,POS 22-23- REMODELACION PLAZA DE LA CONSTITUCION,0,186364,186364,,,,,,,,,0
,,,,,75006,,INVERSIÓN EQUIP. PROYECTO ALBURA,0,1255,1255,,,,,,,,,1255
,,,,,75033,,EQUIPAMIENTO COMPETITIVIDAD Y CALIDAD TURISTICA OFICINA TURISMO,0,31742.66,31742.66,,,,,,,,,31742.66
,,,,,75060,,JARDIN DE LLUVIA Y VERTICALES,0,15000,15000,,,,,,,,,15000
,,,,,75569,,Concepto Erroneo EQUIPAMIENTO COMPETITIVIDAD Y CALIDAD TURISTICA OFICINA TURISMO,0,0,0,,,,,,,,,0
,,,,,87000,,REMANENTE DE TESORERIA PARA GASTOS GENERALES,0,8633862.52,8633862.52,,,,,,,,,0
,,,,,87010,,REMANENTE DE TESORERIA PARA GASTOS AFECTADOS,0,2458022.05,2458022.05,,,,,,,,,0
