#a,b,c,d,COFUNCION,CODECOPART,g,Descripción,Inicial,j,Modificación,Actual,O
,,,,133,22702,,CTO. GESTION PARKING MUNICIPAL,55000,,3781.25,58781.25,60588.33
,,,,133,62900,,BALIZAS SOLARES Y OTRAS SEÑALIZACIONES,1000,,700,1700,1633.43
,,,,134,22300,,SERVICIO AUTOBUS ALUMNOS C.E. VIAL,2000,,700.01,2700.01,2500.03
,,,,134,22698,,JORNADA DE LA  ACCESIBILIDAD PsPs Nº 5,5000,,0,5000,0
,,,,134,22699,,GASTOS DIV. C.E. VIAL Y CONCURSO EDUC. VIAL,1000,,0,1000,532.4
,,,,135,21300,,MATERIAL TECNICO PROTEC. CIVL,1500,,620.73,2120.73,2095.55
,,,,135,21400,,MTO. VEHICULOS PROT. CIVIL,2000,,0,2000,435.41
,,,,135,22103,,COMBUSTIBLE VEHICULOS PROT. CIVIL,600,,4000,4600,3600.48
,,,,135,22104,,VESTUARIO PROTEC. CIVIL,2400,,0,2400,691.52
,,,,135,22105,,CATERING VOLUNTARIOS PROTECC. CIVIL,2000,,0,2000,1599.3
,,,,135,22601,,ATENCIONES PROTOCOLARIAS PROTECCION CIVIL,0,,400,400,0
,,,,135,22606,,CURSOS Y FORMACION PROTEC. CIVIL,1900,,0,1900,58.36
,,,,135,22699,,PLANES ACTUACION PROTECCION CIVIL,3700,,1500,5200,5413.2
,,,,135,62410,,ADQUISICION VEHICULOS PROTECCION CIVIL,0,,34600,34600,0
,,,,135,62900,,INVERSIONES PROTECCION CIVIL,0,,300,300,300
,,,,150,12000,,RETRIBUCIONES BASICAS URBANISMO-A1,61165.8,,0,61165.8,71348.55
,,,,150,12001,,RETRIBUCIONES BASICAS URBANISMO-A2,137297.08,,-21050,116247.07999999999,115532.98
,,,,150,12003,,RETRIBUCIONES BASICAS URBANISMO-C1,70149.26,,0,70149.26,101492.26
,,,,150,12004,,RETRIBUCIONES URBANISMO-C2,29754.12,,0,29754.12,29508.16
,,,,150,12100,,COMPLEMENTO DESTINO URBANISMO,180022.08,,-18172,161850.08,147334.95
,,,,150,12101,,COMPLEMENTO ESPECIFICO URBANISMO,244895.84,,-40000,204895.84,178629.63
,,,,150,14300,,PERSONAL FUNCIONARIO INTERINO URBANISMO,67199.84,,0,67199.84,112568.39
,,,,150,15000,,PRODUCTIVIDAD FUNCIONARIOS URBANISMO,28981.35,,0,28981.35,28250.03
,,,,150,15100,,GRATIFICACIONES PERSONAL URBANISMO,0,,0,0,2777.77
,,,,150,16000,,SEGURIDAD SOCIAL FUNCIONARIOS URBANISMO,214360.21,,-27231.1,187129.11,165209.88
,,,,150,16001,,SEGURIDAD SOCIAL PERS. LABORAL URBANISMO,0,,0,0,31115.25
,,,,1510,21000,,"MTO. CONSERV. ESP. PUBL., INFRAESTR. Y ACCESIBILID",33000,,54658.5,87658.5,43488.81
,,,,1510,21200,,CUOTA MTO. EDIFICIOS Y OTR. INSTALACIONES,2000,,25000,27000,1739.59
,,,,1510,21300,,MTO. MAQUINARIA URBANISMO,500,,0,500,488.33
,,,,1510,21400,,MANTENIMIENTO VEHICULOS OFICINA TECNICA,1000,,449.14,1449.1399999999999,2254.45
,,,,1510,22000,,"CARTELERIA LICENC. OBRAS, PUBLICACIONES Y OTROS MAT. OFICINA",2500,,0,2500,1815
,,,,1510,22103,,COMBUSTIBLE VEHICULOS URBANISMO,2500,,500,3000,2726.73
,,,,1510,22111,,MATERIAL TECNICO Y ESPECIAL OFICINA TECNICA,1000,,0,1000,73.24
,,,,1510,22500,,TASAS TRAMITAC. EXPEDIENTES Y OTR. URBANISMO,1500,,0,1500,255.7
,,,,1510,22601,,ATENCIONES PROTOCOLARIAS URBANISMO,250,,0,250,0
,,,,1510,22602,,PUBLICACIONES Y PUBLICIDAD URBANISMO,1000,,0,1000,0
,,,,1510,22699,,"GASTOS DIVERSOS Y PODAS, FUMIGACIONES..",1000,,-3419.5,-2419.5,0
,,,,1510,22702,,TRABAJOS TECNICOS DE PROFESIONALES,18000,,-1852.4,16147.599999999999,13251.92
,,,,1510,22706,,"PROYECTOS, ESTUDIOS, TRAB. TEC. Y COMISION AGUA",50000,,94079,144079,137670.2
,,,,1510,22799,,PROYECTOS OBRAS DE EJECUCION SUBSIDIARIA,1000,,0,1000,0
,,,,1510,24001,,"CARTELERIA, MUPIS, ROLL-UP Y OTROS",200,,0,200,0
,,,,1510,48000,,CONVENIO COLABORACIÓN ENTIDAD URBANÍSTICA,50000,,0,50000,50000
,,,,1510,60000,,OBRAS DE EJECUCION SUBSIDIARIA,1,,0,1,0
,,,,1510,60901,,EJECUCION INVERSIONES - CONDADO ALHAMA,0,,905514.9,905514.9,0
,,,,1510,60905,,OBRA ELECTRICA URB. ANGEL NIETO - PRAICO,0,,44231.1,44231.1,44231.1
,,,,1510,60906,,ADAPTACION Y MEJORA DE SEGURIDAD SOLARES MUNICIPALES,0,,2155.01,2155.01,2155.01
,,,,1510,60908,,P.O.S. 2022-2023 REMODELACION PLAZA CONSTITUCION,0,,186364,186364,0
,,,,1510,60909,,REMODELACION PARQUE LA CUBANA Y NUEVO BALNEARIO,820876.66,,1570482.66,2391359.32,48305.75
,,,,1510,61910,,RENOVACION C/ CERVANTES Y OTRAS,0,,1000000,1000000,626358.98
,,,,1510,62400,,VEHICULO URBANISMO E INFRAESTRUCTURAS,0,,13132.15,13132.15,13132.15
,,,,1510,62900,,INVERSIONES Y MATERIAL TECNICO URBANISMO,2000,,4017,6017,6017
,,,,1511,22699,,GASTOS DIVERSOS CALIDAD URBANA,4000,,0,4000,2990.45
,,,,1511,48000,,CONCURSO MURAL/GRAFITI,3300,,0,3300,0
,,,,1531,60910,,OBRAS CONEXION BORDE PRAICO,0,,46175.41,46175.41,46175.41
,,,,1532,21000,,MTO. VIAS PUBLICAS,25000,,0,25000,23104
,,,,1532,21002,,"CONSERV. Y MTO. CTRAS. N-340, RM-515 Y RM-608",10000,,0,10000,6242.8
,,,,1532,21005,,MATERIALES Y OTR. CONSEJOS COMARCALES 2022/2023,5000,,0,5000,1596
,,,,1532,22700,,LIMPIEZA Y DESBROCE EN SOLARES,5000,,0,5000,0
,,,,1532,61900,,PAVIMENTACION CAMINOS PUBLICOS,0,,450000,450000,429357.02
,,,,1532,61905,,REPARACION CAMINOS DANA 2019,0,,50660.17,50660.17,47578.71
,,,,1532,61911,,PLAN ASFALTADO 2021,0,,35160,35160,29863.16
,,,,160,22500,,CANON CONTROL VERTIDO C.H.S.,3000,,0,3000,2228.06
,,,,160,22501,,CANON SANEAMIENTO- ESAMUR,16000,,0,16000,0
,,,,160,60900,,MEJORA EN RED DE PLUVIALES MUNICIPAL,0,,5275.6,5275.6,0
,,,,160,60910,,EVACUACION PLUVIALES IES VALLE LEYVA,0,,215386.24,215386.24,203588.75
,,,,160,60911,,EVACUACION PLUVIALES EL BERRO,0,,75119,75119,0
,,,,161,22706,,ESTUDIOS Y TRABAJOS TECNICOS CICLO URBANO DEL AGUA,0,,0,0,0
,,,,1621,21400,,"REVISION, MANTENIMIENTO Y REPARACION VEHICULOS R.R.S.U.",0,,0,0,3267
,,,,1621,22797,,RECOGIDA Y RETIRADA DE ENSERES DE LA VIA PUBLICA,0,,0,0,0
,,,,1621,22799,,RECOGIDA RESIDUOS SOLIDOS URBANOS,1400000,,-303102.67,1096897.33,949633.84
,,,,1621,63200,,ACONDICIONAMIENTO NAVE CALLE ESTACION SERV. R.R.S.U.,0,,4719,4719,0
,,,,1621,63510,,REPOSICION NUEVOS CONTENEDORES,0,,23532.08,23532.08,23532.08
,,,,1622,22500,,TASAS GESTION RESIDUOS PELIGROSOS,0,,0,0,587.9
,,,,1622,22699,,ELIMINAC. LIMPIEZA Y REGENERAC. VERTEDEROS,6000,,5989.5,11989.5,5989.5
,,,,1622,22701,,GESTION  Y ELIMINACION DE R.S.U.,400000,,0,400000,220672.45
,,,,1622,22702,,GESTION RESIDUOS SELECTIVOS Y ECOPARQUE-S.G.R.,45000,,24749.67,69749.67,47593.48
,,,,1622,22703,,RECOGIDA SELECTIVA RESIDUOS BIOSANITARIOS AGRICULT,600,,0,600,0
,,,,1622,22799,,GESTION RESIDUOS VEGETALES EN FINCAS AMBIENTALES,1500,,0,1500,0
,,,,163,22700,,SERVICIO LIMPIEZA VIARIA,820000,,-39209.67,780790.33,643641.2
,,,,165,20300,,INSTALACIONES ELECTRICAS ACTOS EVENTUALES,130000,,-5602.25,124397.75,117499.04
,,,,165,21300,,MTO. ALUMBRADO GENERAL,75000,,-4553.149999999998,70446.85,51017.41
,,,,165,22100,,ENERGIA ELECTRICA ALUMBRADO PUBLICO,547551.97,,344000,891551.97,854419.39
,,,,165,22501,,TASAS ALUMBRADO PUBLICO,2000,,0,2000,11223.09
,,,,165,22699,,INSPECCIONES Y OTROS ELECTRIC.,1000,,0,1000,0
,,,,165,26100,,PROGR. INFORMAT. OPITIMIZACION FACTURA ENERGETICA,11000,,0,11000,0
,,,,165,61902,,SUM. E INSTALAC. LUMINARIAS EFIC. ENERGETICA LOTES 2 Y 3,0,,621.61,621.61,621.61
,,,,165,61905,,SUSTITUC. CALDERAS PARA EFIC. ENERGETICA COLEGIOS Y DEPORTES,0,,14641,14641,14641
,,,,165,61906,,P.O.S. 2020 SUSTITUCION LUMINARIAS Bº. SAN CRISTOBAL,0,,207475.89,207475.89,207475.88
,,,,165,61911,,REFORMA INSTALACIONES ELECTRICAS Y CERTIFICACIONES,0,,24159.64,24159.64,24159.64
,,,,165,61912,,REPOSIC. ALUMBRADO PUBL. POR VANDALISMO,0,,90000,90000,0
,,,,170,12001,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-A2,28830.04,,0,28830.04,16644.67
,,,,170,12003,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-C1,16292.14,,0,16292.14,16888.59
,,,,170,12004,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-C2,37432,,-30000,7432,8660.25
,,,,170,12005,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-E,19609.72,,0,19609.72,11306.07
,,,,170,12100,,COMPLEMENTO DESTINO M.AMBIENTE Y P.JARDINES,53458.16,,0,53458.16,21964.49
,,,,170,12101,,COMPL. ESPECIFICO M.AMBIENTE Y P.JARDINES,91373.52,,-40000,51373.520000000004,29351.43
,,,,170,13000,,PERS. LABORAL FIJO M.AMBIENTE Y P.JARDINES,45096.52,,0,45096.52,19899.2
,,,,170,14300,,Funcionarios Interinos Parques y Jardines,0,,0,0,16688.38
,,,,170,15000,,PRODUCT. FUNCIONARIOS M.AMBIENTE Y P.JARDINES,6303.97,,0,6303.97,4903.95
,,,,170,15001,,PRODUCTIV. LABORALES M.AMBIENTE Y P.JARDINES,1691.12,,0,1691.12,2995.64
,,,,170,16000,,SEG. SOCIAL FUNCIONAR. M.AMBIENTE Y P.JARDINES,70400.86,,-32000,38400.86,28675.22
,,,,170,16001,,SEG. SOCIAL. LABORAL M.AMBIENTE Y P.JARDINES,16618.06,,0,16618.06,13325.05
,,,,1711,21000,,MTO. GRAL. PARQUES,15000,,1200,16200,4860.9
,,,,1711,21001,,GESTION DE RESIDUOS VEGETALES EN PARQUES,1000,,0,1000,951.74
,,,,1711,21002,,TRABAJOS JARDINERIAS ZONAS VERDES-PARQUES,0,,0,0,72.6
,,,,1711,21300,,MTO. JUEGOS INFANTILES EN PARQUES,5000,,4396.38,9396.380000000001,5892.3
,,,,1711,21301,,MANTENIMIENTO UTILLAJE Y MAQUINARIA PARQUES,1000,,-721.16,278.84000000000003,100.35
,,,,1711,22105,,ALIMENTOS PARA PAJARERA DEL PARQUE LA CUBANA,200,,0,200,200.93
,,,,1711,22699,,FUMIGACION Y PODAS EN PARQUES,15000,,699.53,15699.53,699.53
,,,,1711,22799,,SERVICIO LIMPIEZA Y CONSERVACION PARQUES,73000,,0,73000,0
,,,,1711,60910,,PROYECTO NUEVO RECINTO FERIAL,0,,1279050,1279050,983904.01
,,,,1711,61910,,AECUACION PARQUES INFANTILES,0,,36880.14,36880.14,36880.14
,,,,1711,62500,,OTRAS INVERSIONES EN PARQUES,1000,,721.16,1721.1599999999999,1398.76
,,,,1712,13100,,Retrib. Consejos Comarcales 20/21,0,,0,0,1713.17
,,,,1712,13101,,RETRIBUC. CONSEJOS COMARCALES 21/22,0,,96400,96400,87173.65
,,,,1712,16002,,Seg. Soc. Consejos Comarcales 21/22,0,,28900,28900,27542.41
,,,,1712,21000,,MTO. GRAL JARDINES Y ZONAS VERDES,10000,,3479.72,13479.72,12646.02
,,,,1712,21001,,GESTION DE RESIDUOS VEGETALES JARDINES,8000,,0,8000,6000
,,,,1712,21002,,MATERIALES CONSEJOS COMARCALES 2021-2022,0,,0,0,210.41
,,,,1712,21003,,MANTENIMIENTO VIVERO MUNICIPAL,1000,,0,1000,532.4
,,,,1712,21300,,MTO. JUEGOS INFANTILES EN JARDINES,14500,,0,14500,1693.64
,,,,1712,22104,,VESTUARIO CONSEJOS COMARCALES 21-22,0,,0,0,1875
,,,,1712,22699,,FUMIGACION Y PODAS EN JARDINES,5000,,260,5260,14087.93
,,,,1712,22798,,"SERV. LIMPIEZA, MANTENIMIENTO Y CONSERVACION JARDINES Y ZONAS VERDES",376844.55,,0,376844.55,416453.25
,,,,1712,22799,,SERV. LIMPIEZA Y CONSERVACION JARDINES Y ZONAS VERDES,107146.71,,0,107146.71,46494.45
,,,,1712,60909,,JARDIN DE LLUVIA Y VERTICALES DRENAJE URBANO SOSTENIBLE,0,,17484.5,17484.5,0
,,,,1712,60910,,HABILITACION ZONA SOMBRA PARQUES,0,,90169.86,90169.86,90169.86
,,,,1721,22602,,CAMPAÑA INFORMAC. CAMBIO CLITATICO PS/PS Nº 4,0,,4433.08,4433.08,3990.58
,,,,1721,60910,,PLACAS SOLARES EDIFICIOS MUNICIPALES PARA E.E.,0,,175000,175000,0
,,,,1721,62410,,"ADQUISICION VEHICULOS ELECTRICOS PROGRAMA ""MOVE""",0,,120000,120000,0
,,,,1722,21000,,MANTENIMIENTO Y SEÑALIZACION DE SENDAS,1500,,60.5,1560.5,60.5
,,,,1722,22100,,ENERGIA ELECTRICA EDIFICIOS MED. AMBIENTE,2080,,0,2080,57.25
,,,,1722,22400,,SEGUROS CONCEJALIA MED. AMBIENTE,600,,302.68,902.6800000000001,418.69
,,,,1722,22601,,ATENCIONES PROTOCOLARIAS CONC. MEDIO AMBIENTE,250,,0,250,0
,,,,1722,22609,,"SENDALHAMA, SENDERISMO INTERPRETATIVO",5000,,0,5000,1232
,,,,1722,22702,,INFORMES Y VALORACIONES NECESARIOS,1000,,4675.1,5675.1,2413.95
,,,,1722,22706,,ACTUAC. PARCELAS MPALES. INTERES NATURAL,12000,,9112.62,21112.620000000003,15934
,,,,1722,22798,,CATALOGO DE ARBOLES Y ARBOLEDAS,1000,,0,1000,39.79
,,,,1722,22799,,MTO.  Y GASTOS DIVERSOS HUERTOS ECOLOGICOS FAMILIARES,3000,,0,3000,3269.08
,,,,1722,24000,,EDICIONES Y DIVULGACION MED. AMBIENTAL,2000,,871.2,2871.2,1279.21
,,,,1722,48000,,SUBVENCIONES ACTIVIDADES MEDIOAMBIENTALES,14000,,0,14000,4634.96
,,,,1722,48001,,CONVENIO ACCIONES MALVASÍA (MELES),1500,,0,1500,0
,,,,1722,48002,,CONVENIO HUERTOS ECOLÓGICOS (LA ALMAJARA),4500,,0,4500,2500
,,,,1722,48003,,CONVENIO ACCIÓN EN PARCELAS LA ALCANARA (ACUDE),1500,,0,1500,0
,,,,1722,48004,,CONVENIO ASOC. ENGATUSATE PARA,1000,,0,1000,0
,,,,1722,48005,,CONV. PROMOC. BIENESTAR ANIMAL (PELUDINES),1000,,0,1000,0
,,,,1722,48006,,PROY. ARQUITECTURA DEL AGUA GEBAS PsPs Nº 7,5938.14,,0,5938.14,5938.14
,,,,1722,62300,,MAQUINARIA PARA PODAS Y OTR. MEDIO AMBIENTE,0,,2990,2990,2990
,,,,221,10000,,ACCIDENTE Y COMPLEM. ACCIDENTE CORPORACION,100,,0,100,10662.93
,,,,221,12000,,ACCIDENTE Y COMPLEM. ACCIDENTE A-1,100,,0,100,5667.27
,,,,221,12001,,ACCIDENTE Y COMPLEM. ACCIDENTE A-2,100,,50000,50100,38456.99
,,,,221,12002,,ACCIDENTE Y COMPLEM. ACCIDENTE B,100,,0,100,0
,,,,221,12003,,ACCIDENTE Y COMPLEM. ACCIDENTE C-1,100,,0,100,115046.99
,,,,221,12004,,ACCIDENTE Y COMPLEM. ACCIDENTE C-2,100,,0,100,15118.82
,,,,221,12005,,ACCIDENTE Y COMPLEM. ACCIDENTE E,100,,0,100,24810.94
,,,,221,12700,,PLAN DE PENSIONES,60269.04,,0,60269.04,47766.42
,,,,221,13000,,ACCIDENTE Y COMPLEM. LABORAL FIJO,100,,0,100,0
,,,,221,13100,,ACCIDENTE Y COMPLEM. LABORAL TEMPORAL,100,,0,100,13134.78
,,,,221,13700,,PLAN DE PENSIONES LABORALES,1282.32,,0,1282.32,0
,,,,221,14300,,ACCIDENTE Y COMPLEM. FUNCIONARIO INTERINO,100,,0,100,1885.73
,,,,221,16009,,Complemento IT funcionarios Integrados,0,,60000,60000,56194.01
,,,,221,16104,,INDEMNIZACION POR JUBILACION,12235.61,,0,12235.61,38680.15
,,,,221,16200,,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,15025,,0,15025,14219
,,,,221,16204,,ACCION SOCIAL,25000,,5735.99,30735.989999999998,31541.75
,,,,221,16400,,COMPLEMENTO FAMILIAR,3000,,0,3000,0
,,,,2310,12000,,RETRIB. BASICAS S.SOCIALES-A1,20178.3,,0,20178.3,20455.91
,,,,2310,12001,,RETRIB. BASICAS S.SOCIALES-A2,53187,,0,53187,64049.99
,,,,2310,12003,,RETRIB. BASICAS S.SOCIALES-C1,11040.4,,0,11040.4,0
,,,,2310,12004,,RETRIB. BASICAS S.SOCIALES-C2,23196.32,,0,23196.32,24961.23
,,,,2310,12005,,RETRIBUC. BASICAS S. SOCIALES-E,10083.34,,0,10083.34,9498.5
,,,,2310,12100,,COMPLEMENTO DESTINO S.SOCIALES,68759.74,,0,68759.74,55413.27
,,,,2310,12101,,COMPLEMENTO ESPECIFICO S.SOCIALES,79543.66,,0,79543.66,56684.33
,,,,2310,13100,,PERSONAL LABORAL TEMPORAL S.SOCIALES,228174.22,,0,228174.22,192376.57
,,,,2310,14300,,OTRO PERSONAL FUNCIONARIO INTERINO,107637.34,,0,107637.34,121840.42
,,,,2310,14301,,RETRIBUCIONES PROY. ALBURA PARA INCLUSION SOCIAL,0,,73078.8,73078.8,13900.78
,,,,2310,15000,,PRODUCTIVIDAD FUNCIONARIOS S.SOCIALES,15601.59,,0,15601.59,7276.07
,,,,2310,15001,,PRODUCTIVIDAD LABORALES S.SOCIALES,6033.95,,0,6033.95,6949.76
,,,,2310,16000,,SEGURIDAD SOCIAL FUNCIONARIOS S.SOCIALES,105446.02,,0,105446.02,56125.72
,,,,2310,16001,,SEGURIDAD SOCIALES PERSONAL LABORAL S.SOCIALES,74428.62,,18172,92600.62,86903.88
,,,,2310,16002,,SEG. SOCIAL PROY. ALBURA PARA INCLUSION SOCIAL,0,,22910.1,22910.1,4556.12
,,,,2310,21200,,MTO. CENTROS SERVICIOS SOCIALES,800,,0,800,3.51
,,,,2310,21300,,MANTENIMIENTO GRUAS Y CAMAS ARTICULADAS,1640,,0,1640,0
,,,,2310,21400,,MANTENIMIENTO VEHICULO SERV. SOCIALES,0,,0,0,288.06
,,,,2310,22000,,MATERIAL OFICINA SERVICIOS SOCIALES,1050,,0,1050,495.83
,,,,2310,22100,,ENERGIA ELECTRICA EDIFICIOS S.SOCIALES,26000,,19554.15,45554.15,45554.15
,,,,2310,22105,,"PROD. ALIMENTICIOS, ENVASES, COMIDA Y AGUA",3300,,0,3300,2194.56
,,,,2310,22600,,DESAYUNOS Y OTR. GASTOS PROTOC. PROY. ALBURA INCLUSION SOCIAL,0,,726,726,0
,,,,2310,22601,,ATENCIONES PROTOCOLARIAS CONCEJALIA SERV. SOC.,300,,0,300,0
,,,,2310,22605,,OTROS GASTOS DIVERSOS SERVICIOS SOCIALES,0,,0,0,357.98
,,,,2310,22606,,"TALLERES TRABAJO GRUPAL ""PAIN""",900,,-516.17,383.83000000000004,0
,,,,2310,22609,,TALLERES PREVENCION ABSENTISMO ESCOLAR,900,,-900,0,0
,,,,2310,22696,,FORMACION Y CURSOS PERSONAL SERVICIOS SOCIALES,0,,0,0,65
,,,,2310,22698,,ACTIVIDADES DE VOLUNTARIADO,2000,,205.7,2205.7,1591.19
,,,,2310,22699,,"ALOJAM. TEMPORAL, DECESOS Y OTR. GASTOS",500,,0,500,380.6
,,,,2310,22700,,LIMPIEZA EDIFICIOS S.SOCIALES,43820.27,,0,43820.27,27951.6
,,,,2310,22790,,CONTRATO SERVICIO VOLUNTARIADO,36625,,0,36625,39677.04
,,,,2310,22792,,CTO. SERVICIO AYUDA A DOMICILIO (S.A.D.),42400,,0,42400,17637.63
,,,,2310,22793,,CTO. TELEASISTENCIA,32016,,-4000,28016,27373.37
,,,,2310,22794,,CTO. SERV. AYUDA A DOMICILIO DEPENDENC. (SAAD),381774.65,,17039.3,398813.95,295092.66
,,,,2310,22796,,OTROS GASTOS PROY. ALBURA PARA INCLUSION SOCIAL,0,,32540.72,32540.72,39.16
,,,,2310,22797,,REFUERZO TEMPORAL  PROGR. TRABAJO SOCIAL DE ZONA,0,,0,0,0
,,,,2310,22798,,"SERV. INTERVENCION CON FAMILIAS, MENORES Y APOYO PARENTALIDAD POSITIVA",0,,0,0,978.78
,,,,2310,22799,,"IMPARTICION DE ""ITINERARIOS"" INFORMACION Y ORIENT",47042.03,,4679.14,51721.17,32419.74
,,,,2310,45390,,"PATROCINIO AYUDAS MATRICULAS UMU, COLECTIVOS VULNERABLES",4000,,-4000,0,0
,,,,2310,48002,,CONVENIO CARITAS PALIAR POBREZA,6000,,3000,9000,9000
,,,,2310,48003,,PRESTACION APOYO FAMILIAR REINSERCION SOCIAL,70000,,0,70000,39690.64
,,,,2310,48004,,PRESTACIONES A FAMILIAS CON MENORES,35000,,-19397.6,15602.400000000001,6085.08
,,,,2310,48006,,SUBVENCIONES ASOCIACIONES Y ONG`S,20000,,0,20000,19974.52
,,,,2310,48007,,SUBVENCIÓN CRUZ ROJA AYUDAS URGENTE NECESIDAD,50000,,11000,61000,61000
,,,,2310,48009,,CONVENIO ASOC. PRO AYUDA ALIMENTARIA,8000,,0,8000,8000
,,,,2310,62500,,EQUIPAMIENTO CENTRO SERVICIOS SOCIALES,1500,,6297.6,7797.6,3385.58
,,,,2310,62510,,EQUIPAMIENTO CENTO SERVICIOS SOCIALES,0,,7494.26,7494.26,5858.71
,,,,2310,62900,,INV. EQUIPAMIENTO PROY. ALBURA PARA INCLUSION SOCIAL,0,,1518.55,1518.55,889.91
,,,,2311,13100,,PERSONAL LABORAL TEMPORAL C.ATENCION TEMPRANA,41521.5,,0,41521.5,41007.05
,,,,2311,15001,,PRODUCTIVIDAD LABORALES C.ATENCION TEMPRANA,1172.74,,0,1172.74,1474.55
,,,,2311,16001,,SEG. SOCIAL PERSONAL LABORAL C.ATENCION TEMPRANA,13536.01,,0,13536.01,12798.79
,,,,2311,22606,,"TALLER APOYO MUTUO, PADRES C.A.T.",0,,1450.83,1450.83,3699.96
,,,,2311,22699,,GTOS. DIVERSOS CENTRO ATENCION TEMPRANA,1500,,1514.38,3014.38,1554.64
,,,,2311,22700,,LIMPIEZA EDIFICIO C.A.T,9661.5,,0,9661.5,7741.92
,,,,2311,22799,,SERVICIOS PROFESIONALES Y REFUERZOS  C.A.T.,30000,,-14634.1,15365.9,14093.75
,,,,2311,62500,,INVERSIONES EN C.A.T.,500,,0,500,0
,,,,2311,62501,,INVERSIONES C.A.T. COVID 19 (RTAF),0,,1894,1894,1859.09
,,,,2312,21300,,"MTO. C.E.D. ""LAS SALINAS""",300,,0,300,723.38
,,,,2312,22000,,"MATERIAL FUNGIBLE C.E.D. ""LAS SALINAS""",600,,0,600,0
