#ANYPPTO,CODECOCONC,NOMCONCEPT,Inicial,Modifica,Actual,DRNeto
2015,42002,MTO JUZGADO,,,,2237.0
2015,42020,COMPENSACION IAE,215000.0,,215000.0,197731.45
2015,42100,M.O. CONSEJOS COMARCALES 1ª Y 2ª FASE,,,,109315.47
2015,45002,C.ATENCION TEMPRANA Y C. OCUPACIONAL,21060.0,,21060.0,52133.33
2015,45003,MTO CENTRO DIA DISCAPACITADOS,170144.0,,170144.0,174318.43
2015,45004,ATENCION PRIMARIA S.S.P.BASICAS.DEPENDENCIAS.INCLU,187468.0,,187468.0,186958.73
2015,45005,PROGRAMA INCLUSION SOCIAL 2010,,,,-1414.26
2015,45012,CTRO DE DIA MAYORES,195300.0,,195300.0,200806.41
2015,45014,PREVENCION DROGODEPENDENCIAS,,,,6982.0
2015,45015,SUBVENCION PSICOLOGA PAE,9240.0,,9240.0,9240.0
2015,45016,VIVERO EMPRESAS MUJERES,45185.71,,45185.71,
2015,45050,PROGRAMA MIXTO EMPLEO-FORMAC JARDINERIA.,175419.36,,175419.36,175419.36
2015,45051,SUVB.CURSO FORM.PROFES.OCUP.AUXILIAR ADMVO,25740.0,,25740.0,-5717.29
2015,45052,CURSOS CENTRO EMPLEO,,,,-7705.69
2015,45054,PLAN SEGURIDAD CIUDADANA UESCARM,300000.0,,300000.0,241877.7
2015,45058,INTERESES CAMPO DE FUTBOL,5623.77,,5623.77,5623.77
2015,46300,PROYECTOS DE INCICIATIVA LEADER,,44393.65,44393.65,44393.65
2015,47001,ASIT. TEC. INTEGRACION RECAUDACION CONTABILIDAD,,9292.8,9292.8,9292.8
2015,47002,COLABORACION EMPRESAS,,3400.0,3400.0,8825.0
2015,47003,PERSONAL URBASER (SALARIO),45086.41,,45086.41,54157.66
2015,47004,COLABORACIONES P.I.T.,,2150.0,2150.0,2150.0
2015,47005,COLABORACION CAIXABANK MOBILIARIO C.A.PSICOSOCIAL,,4000.0,4000.0,4000.0
2015,52000,INTERESES DE DEPOSITOS,29000.0,,29000.0,13876.29
2015,54000,ALQUILER INSTALACIONES,,,,20094.35
2015,54001,CONCESIONES DEMANIALES,10000.0,,10000.0,1189.6
2015,54009,ALQUILER INSTALACIONES FRACCIONAMIENTOS,,,,888.24
2015,54100,ALQUILER DE SUELO MPAL,,,,13885.41
2015,54900,VIVIENDAS SOCIALES,,,,1024.2
2015,54901,ALOJAMIENTO TEMPORAL,3600.0,,3600.0,
2015,55000,CONCESIONES ADMINISTRATIVAS,11000.0,,11000.0,1375.56
2015,55001,CONCESIONES ADMVAS CANON URBASER,,958440.9,958440.9,958440.9
2015,55201,VENTA PUBLICACIONES MEDIO AMBIENTE,2000.0,,2000.0,
2015,59900,VTA VEHICULOS ALMACEN MPAL,,,,561.98
2015,75002,SUBV.CARM.INSTALACIONES ENERGIA RENOVABLE,30000.0,,30000.0,
2015,75003,SUBV.REHABILITACIÓN ASEOS MERCADO MPAL,,19637.83,19637.83,19637.83
2015,75004,CUBIERTA PZA ABASTOS,,,,20000.0
2015,75005,AMORTIZACION CAMPO CESPED ARTIFICAL,26818.18,,26818.18,26818.18
2015,75008,LEADER. DESARROLLO RURAL CAMINO LOS MOLINOS,,,,18800.0
2015,75011,RESTITUC. PASO DE RBLA. CON BADEN CAÑARICO,,,,4855.47
2015,75012,RESTITUC. DE TALUD CON MURO CTRA. N-340,,,,7813.27
2015,75013,RESTITUC. DE TALUD CON ESCOLLERA CTRA. N-340,,,,2779.9
2015,75015,P.O.S. 2015,114751.0,,114751.0,111835.35
2015,78000,CUOTAS COLABORACION (FACHADAS BERRO Y OTRAS),,,,665.06
2015,78001,INGRESOS C. MUJER,,,,6524.0
2015,78009,CUOTAS COLABORACION FRACCIONAMIENTOS,,,,192.0
2015,87000,REMANENTE DE TESORERIA PARA GASTOS GENERALES,,817914.15,817914.15,
2015,87010,REMAN. TESORERIA PARA GASTOS CON FINANC. AFECT.,,3677481.53,3677481.53,
#,,,21725452.43,10704092.71,32429545.14,34057943.48
