#a,b,c,d,COFUNCION,CODECOPART,g,Descripción,Inicial,j,Modificación,Actual,O
,,,,1510,22500,,TASAS TRAMITAC. EXPEDIENTES Y OTR. URBANISMO,1500,,0,1500,5.94
,,,,1510,22601,,ATENCIONES PROTOCOLARIAS URBANISMO,250,,0,250,0.0
,,,,1510,22602,,PUBLICACIONES Y PUBLICIDAD URBANISMO,1000,,0,1000,0.0
,,,,1510,22698,,EXPOSICION UVA DE MESA,0,,0,0,1851.3
,,,,1510,22699,,"GASTOS DIVERSOS Y PODAS, FUMIGACIONES..",10000,,0,10000,0.0
,,,,1510,22702,,TRABAJOS TECNICOS DE PROFESIONALES,10000,,0,10000,12801.94
,,,,1510,22706,,"PROYECTOS, ESTUDIOS, TRAB. TEC. Y COMISION AGUA",100000,,135998.9,235998.9,88444.95
,,,,1510,22799,,PROYECTOS OBRAS DE EJECUCION SUBSIDIARIA,1000,,0,1000,0.0
,,,,1510,24001,,"CARTELERIA, MUPIS, ROLL-UP Y OTROS",200,,0,200,0.0
,,,,1510,48000,,CONVENIO COLABORACIÓN ENTIDAD URBANÍSTICA,12000,,38000,50000,50000.0
,,,,1510,60000,,OBRAS DE EJECUCION SUBSIDIARIA,1,,0,1,0.0
,,,,1510,60001,,ADQUISICION SOLARES REGENERACION URBANA,0,,250000,250000,0.0
,,,,1510,60901,,EJECUCIONES SUBSIDIARIAS 2017 BMN,0,,831058.61,831058.61,0.0
,,,,1510,60903,,EJECUCIONES SUBSIDIARIAS 2018 (BMN),0,,79725.82,79725.82,5269.53
,,,,1510,60909,,REMODELACION PARQUE LA CUBANA Y NUEVO BALNEARIO,1200000,,-778000,422000,0.0
,,,,1510,61900,,MEJORA ENTORNO Y ACC. C/ PERDIZ Y E. GRANADOS,0,,67274.55,67274.55,67274.55
,,,,1510,61910,,"RENOVAC. INFR. C/ CERVANTES, Bº. LOS DOLORES + ZONA CONTENEDORES",0,,490000,490000,0.0
,,,,1510,62400,,VEHICULOS URBANISMO E INFRAESTRUCTURAS,0,,13132.65,13132.65,0.0
,,,,1510,62900,,INVERSIONES Y MATERIAL TECNICO URBANISMO,3000,,0,3000,619.52
,,,,1511,22699,,GASTOS DIVERSOS CALIDAD URBANA,5700,,-4500,1200,1010.83
,,,,1531,60910,,CONECTAR CON BORDE PRAICO C/ ANGEL NIETO Y C/ SITO PONS,0,,50000,50000,0.0
,,,,1532,21000,,MTO. VIAS PUBLICAS,25000,,-59,24941,19992.87
,,,,1532,21002,,"CONSERV. Y MTO. CTRAS. N-340, RM-515 Y RM-608",10000,,11554.85,21554.85,0.0
,,,,1532,21005,,MATERIALES CONSEJOS COMARCALES 2020/2021,7000,,0,7000,2608.49
,,,,1532,22700,,LIMPIEZA Y DESBROCE EN SOLARES,5000,,0,5000,3448.5
,,,,1532,61902,,POS 2020 PAVIM. C/ CIRCULO Y FLORENCIO JAVALOY,0,,164426.8,164426.8,130997.87
,,,,1532,61905,,REPARACION CAMINOS POR DAÑOS DANA 2019,0,,356845.89,356845.89,268940.35
,,,,1532,61910,,"PAV. CMNOS. PUBLICOS-LAS FLOTAS, MUÑOCES, MAJALEJO, CUEVAS DE TORRETA Y OTR.",0,,390000,390000,0.0
,,,,1532,61911,,PLAN ASFALTO 2021,0,,90000,90000,0.0
,,,,1532,61912,,PAVIM. EXPLANADA PARTE TRASERA GRADAS CAMPO FUTBOL GUADALENTIN,0,,20000,20000,0.0
,,,,160,22500,,CANON CONTROL VERTIDO C.H.S.,3000,,0,3000,2141.54
,,,,160,22501,,CANON SANEAMIENTO- ESAMUR,10000,,0,10000,26481.82
,,,,160,60910,,EVACUACION PLUVIALES ENTORNO NUEVO IES VALLE LEYVA-EL PRAICO,0,,322803,322803,0.0
,,,,160,60911,,EVACUACION  PLUVIALES EN EL BERRO,0,,75119,75119,0.0
,,,,160,78000,,SUBVENCION OBRAS DRENAJE PLUVIALES LAS CAÑADAS,0,,2100,2100,2100.0
,,,,1621,22795,,GASTOS IMPLANTACION RECOGIDA ORGANICA,0,,56750,56750,0.0
,,,,1621,22797,,RECOGIDA Y RETIRADA DE ENSERES DE LA VIA PUBLICA,25000,,0,25000,17115.48
,,,,1621,22799,,RECOGIDA RESIDUOS SOLIDOS URBANOS-FOMENTO,1200000,,46956.51,1246956.51,896213.09
,,,,1621,62510,,CONTENEDORES PARA IMPLANTACION RECOGIDA RESIDUOS ORGANICOS,0,,48858,48858,0.0
,,,,1621,63510,,REPOSICION DE NUEVOS CONTENEDORES,0,,30000,30000,6243.6
,,,,1622,22500,,TASAS GESTION RESIDUOS PELIGROSOS,0,,0,0,232.02
,,,,1622,22699,,ELIMINAC. LIMPIEZA Y REGENERAC. VERTEDEROS,6000,,0,6000,0.0
,,,,1622,22701,,GESTION DE R.S.U. - FOMENTO,300000,,0,300000,279594.36
,,,,1622,22702,,GESTION RESIDUOS SELECTIVOS Y ECOPARQUE-S.G.R.,25000,,0,25000,3771.43
,,,,1622,22703,,RECOGIDA SELECTIVA RESIDUOS BIOSANITARIOS AGRICULT,600,,0,600,0.0
,,,,1622,22798,,RECOGIDA DE RESIDUOS VARIOS,0,,0,0,533.5
,,,,1622,22799,,GESTION RESIDUOS VEGETALES EN FINCAS AMBIENTALES,2600,,0,2600,0.0
,,,,163,22700,,SERVICIO LIMPIEZA VIARIA,820000,,-1909.15,818090.85,648765.7
,,,,165,20300,,INSTALACIONES ELECTRICAS ACTOS EVENTUALES,80000,,0,80000,92831.2
,,,,165,21300,,MTO. ALUMBRADO GENERAL,75000,,0,75000,36014.86
,,,,165,22100,,ENERGIA ELECTRICA ALUMBRADO PUBLICO,421193.82,,0,421193.82,403082.88
,,,,165,22501,,TASAS ALUMBRADO PUBLICO,2000,,0,2000,0.0
,,,,165,22699,,INSPECCIONES Y OTROS ELECTRIC.,1000,,0,1000,1137.4
,,,,165,26100,,PROGR. INFORMAT. OPITIMIZACION FACTURA ENERGETICA,16335,,0,16335,10890.0
,,,,165,48000,,SUBV. COMUNID. EDIF. LA FUENTE. ACOMETIDA ELECTRIC,15000,,0,15000,15000.0
,,,,165,60904,,ILUMINACION VEREDA LOS SECANOS,0,,13485.18,13485.18,0.0
,,,,165,61900,,REPOS. ALUMBRADO PUBLICO Pss Pss 2019/2020,32561.71,,111802.8,144364.51,111802.79
,,,,165,61902,,ALUMBRADO PUBLICO EN PEDANIAS EFIC. ENERG,0,,11586.65,11586.65,0.0
,,,,165,61905,,REFORMA EN CALDERAS EFIC. ENERG.,0,,14641,14641,0.0
,,,,165,61906,,POS 2020. SUSTI. LUMINARIAS. EFIC. ENERG. Bº SAN CRISTOBAL,0,,288301.2,288301.2,51197.47
,,,,165,61910,,INVERSIONES EN EFICIENCIA ENERGETICA,0,,180000,180000,0.0
,,,,165,61911,,REFORMA INSTALACIONE ELECTRICAS Y CERTIFICACIONES,0,,25000,25000,0.0
,,,,170,12001,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-A2,28264.76,,0,28264.76,8127.56
,,,,170,12003,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-C1,15972.16,,0,15972.16,18644.36
,,,,170,12004,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-C2,2785.54,,0,2785.54,0.0
,,,,170,12005,,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-E,22680.24,,0,22680.24,14122.95
,,,,170,12100,,COMPLEMENTO DESTINO M.AMBIENTE Y P.JARDINES,36951.66,,0,36951.66,18040.92
,,,,170,12101,,COMPL. ESPECIFICO M.AMBIENTE Y P.JARDINES,57692.32,,-22522.74,35169.58,21933.77
,,,,170,13000,,PERS. LABORAL FIJO M.AMBIENTE Y P.JARDINES,44179.07,,0,44179.07,42345.79
,,,,170,14300,,FUNCIONARIOS INTERINOS PARQUES Y JARDINES,0,,0,0,14162.09
,,,,170,15000,,PRODUCT. FUNCIONARIOS M.AMBIENTE Y P.JARDINES,6718.54,,0,6718.54,9852.5
,,,,170,15001,,PRODUCTIV. LABORALES M.AMBIENTE Y P.JARDINES,1656.72,,0,1656.72,12190.14
,,,,170,15100,,GRATIFICACIONES M. AMBIENTE Y P. JARDINES,0,,0,0,1705.47
,,,,170,16000,,SEG. SOCIAL FUNCIONAR. M.AMBIENTE Y P.JARDINES,45305.34,,0,45305.34,23163.5
,,,,170,16001,,SEG. SOCIAL. LABORAL M.AMBIENTE Y P.JARDINES,16279.98,,0,16279.98,24258.04
,,,,1711,21000,,MTO. GRAL. PARQUES,15000,,6836.5,21836.5,13174.14
,,,,1711,21001,,GESTION DE RESIDUOS VEGETALES EN PARQUES,1000,,0,1000,0.0
,,,,1711,21002,,TRABAJOS JARDINERIAS ZONAS VERDES-PARQUES,2000,,0,2000,0.0
,,,,1711,21300,,MTO. JUEGOS INFANTILES EN PARQUES,5000,,-2100,2900,580.58
,,,,1711,21301,,MANTENIMIENTO UTILLAJE Y MAQUINARIA PARQUES,1000,,0,1000,33.0
,,,,1711,22105,,ALIMENTOS PARA PAJARERA DEL PARQUE LA CUBANA,200,,0,200,163.76
,,,,1711,22699,,FUMIGACION Y PODAS EN PARQUES,5000,,0,5000,22900.56
,,,,1711,22799,,CTO. MANTENIM. Y LIMPIEZ EN PARQUES (S.T.V.),49036,,0,49036,17.0
,,,,1711,60910,,PROY. NUEVO RECINTO FERIAL NUEVA ESPUÑA,0,,1273000,1273000,0.0
,,,,1711,61900,,ADECUAC. NORMATIVA ZONA JUEGOS INCLUSIVOS PARQUES,0,,115761.92,115761.92,88258.03
,,,,1711,61910,,ADECUAC. AREA JUEGOS INFANTILES Y OTR. EN PARQUES Y JARDINES,0,,75000,75000,0.0
,,,,1711,62500,,OTRAS INVERSIONES EN PARQUES,1000,,-56.48,943.52,0.0
,,,,1712,13100,,RETRIBUC. CONSEJOS COMARCALES 2020/2021,0,,75498.96,75498.96,75038.16
,,,,1712,13101,,RETRIB. CONSEJOS COMARCALES 2021-2022,0,,140658.8,140658.8,44214.77
,,,,1712,16001,,SEG. SOCIAL CONSEJOS COMARCALES 2020/2021,0,,25029.9,25029.9,21593.19
,,,,1712,16002,,SEG. SOC. CONSEJOS COMARCALES 2021-2022,0,,44428.32,44428.32,15430.25
,,,,1712,21000,,MTO. GRAL JARDINES Y ZONAS VERDES,10000,,0,10000,8188.27
,,,,1712,21001,,GESTION DE RESIDUOS VEGETALES JARDINES,1000,,0,1000,0.0
,,,,1712,21002,,MATERIALES CONSEJOS COMARCALES 2021-2022,0,,10100,10100,146.0
,,,,1712,21003,,MANTENIMIENTO VIVERO MUNICIPAL,1000,,0,1000,1101.3
,,,,1712,21300,,MTO. JUEGOS INFANTILES EN JARDINES,5000,,0,5000,142.02
,,,,1712,22104,,VESTUARIO CONSEJOS COMARCALES 2021-2022,0,,0,0,1566.43
,,,,1712,22699,,FUMIGACION Y PODAS EN JARDINES,10000,,2367.55,12367.55,3067.09
,,,,1712,22706,,ESTUDIOS TECNICOS Y PROYECTOS EN ZONAS VERDES,0,,0,0,792.55
,,,,1712,22797,,No Usar esta aplicación la correcta es 1712/21002,0,,0,0,210.99
,,,,1712,22798,,CTO. MANTENIMIENTO JARDINES (S.T.V.),196145.51,,5625.69,201771.2,46823.19
,,,,1712,22799,,CTO. MANTENIMIENTO JARDINES (F.C.C.),108000,,0,108000,102287.79
,,,,1712,60910,,HABILITAC. ZONAS DE SOMBRA EN PARQUES Y JARDINES PUBLICOS,0,,116079.22,116079.22,0.0
,,,,1712,61900,,INVERSION EN JARDINES Y ZONAS VERDES,5000,,-4000,1000,0.0
,,,,1721,22602,,CAMPAÑA INFORMAC. CAMBIO CLIMATICO PS/PS nº 4,4000,,0,4000,0.0
,,,,1721,60910,,PLACAS SOLARES EN EDIFICIOS MUNICIPALES,0,,80000,80000,0.0
,,,,1722,21000,,MANTENIMIENTO Y SEÑALIZACION DE SENDAS,3500,,0,3500,4906.3
,,,,1722,22100,,ENERGIA ELECTRICA EDIFICIOS MED. AMBIENTE,1600,,0,1600,898.4
,,,,1722,22199,,SUMINISTROS DIVERSOS MEDIO AMBIENTE,0,,0,0,1163.11
,,,,1722,22300,,TRANSPORTE PARA REALIZAC. ACTIV. MED. AMBIENTE,500,,0,500,0.0
,,,,1722,22400,,SEGUROS CONCEJALIA MED. AMBIENTE,1000,,0,1000,0.0
,,,,1722,22601,,ATENCIONES PROTOCOLARIAS CONC. MEDIO AMBIENTE,400,,0,400,0.0
,,,,1722,22609,,"SENDALHAMA, SENDERISMO INTERPRETATIVO",5000,,0,5000,0.0
,,,,1722,22702,,INFORMES Y VALORACIONES NECESARIOS,1000,,0,1000,0.0
,,,,1722,22706,,ACTUAC. PARCELAS MPALES. INTERES NATURAL,12000,,0,12000,12693.02
,,,,1722,22798,,CATALOGO DE ARBOLES Y ARBOLEDAS,1500,,0,1500,0.0
,,,,1722,22799,,MTO. HUERTOS ECOLOGICOS FAMILIARES,5500,,0,5500,1286.61
,,,,1722,24000,,EDICIONES Y DIVULGACION MED. AMBIENTAL,2000,,0,2000,1004.79
,,,,1722,48000,,SUBVENCIONES ACTIVIDADES MEDIOAMBIENTALES,15000,,0,15000,1764.0
,,,,1722,48001,,CONVENIO ACCIONES MALVASÍA (MELES),1000,,0,1000,0.0
,,,,1722,48002,,CONVENIO HUERTOS ECOLÓGICOS (LA ALMAJARA),4500,,0,4500,4500.0
,,,,1722,48003,,CONVENIO ACCIÓN EN PARCELAS LA ALCANARA (ACUDE),1000,,0,1000,0.0
,,,,1722,48004,,CONVENIO ASOC. ENGATUSATE PARA,1000,,0,1000,0.0
,,,,1722,48005,,CONV. PROMOC. BIENESTAR ANIMAL (PELUDINES),1000,,0,1000,0.0
,,,,1722,61911,,ACONDICIONAMIENTO VIA VERDE PEDANIA LA COSTERA PsPs,0,,17029.54,17029.54,17029.54
,,,,1722,62300,,MAQUINARIA PARA TRITURACION RESTOS DE PODAS,6000,,0,6000,0.0
,,,,1722,62304,,PROYECTO MEDEEA,1000,,0,1000,0.0
,,,,1722,62900,,INVERSIONES GENERALES MEDIO AMBIENTE,1000,,0,1000,0.0
,,,,221,10000,,ACCIDENTE Y COMPLEM. ACCIDENTE CORPORACION,100,,0,100,5918.66
,,,,221,12000,,ACCIDENTE Y COMPLEM. ACCIDENTE A-1,100,,0,100,4253.49
,,,,221,12001,,ACCIDENTE Y COMPLEM. ACCIDENTE A-2,100,,0,100,27782.08
,,,,221,12002,,ACCIDENTE Y COMPLEM. ACCIDENTE B,100,,0,100,0.0
,,,,221,12003,,ACCIDENTE Y COMPLEM. ACCIDENTE C-1,100,,0,100,23828.04
,,,,221,12004,,ACCIDENTE Y COMPLEM. ACCIDENTE C-2,100,,0,100,5982.32
,,,,221,12005,,ACCIDENTE Y COMPLEM. ACCIDENTE E,100,,50000,50100,32673.61
,,,,221,12700,,PLAN DE PENSIONES,60269.04,,0,60269.04,54445.17
,,,,221,13000,,ACCIDENTE Y COMPLEM. LABORAL FIJO,100,,0,100,0.0
,,,,221,13100,,ACCIDENTE Y COMPLEM. LABORAL TEMPORAL,100,,0,100,3738.32
,,,,221,13102,,IT TALLER EMPLEO RECUPERACION PATRIMONIO,0,,0,0,1558.12
,,,,221,13700,,PLAN DE PENSIONES LABORALES,1282.32,,0,1282.32,0.0
,,,,221,14300,,ACCIDENTE Y COMPLEM. FUNCIONARIO INTERINO,100,,0,100,3742.0
,,,,221,16104,,INDEMNIZACION POR JUBILACION,20241.63,,0,20241.63,26904.35
,,,,221,16200,,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,15025,,0,15025,2429.75
,,,,221,16204,,ACCION SOCIAL,20000,,0,20000,25895.87
,,,,221,16400,,COMPLEMENTO FAMILIAR,3000,,0,3000,0.0
,,,,2310,12000,,RETRIB. BASICAS S.SOCIALES-A1,19164.34,,0,19164.34,17963.68
,,,,2310,12001,,RETRIB. BASICAS S.SOCIALES-A2,51631.5,,0,51631.5,52705.51
,,,,2310,12003,,RETRIB. BASICAS S.SOCIALES-C1,2705.98,,0,2705.98,0.0
,,,,2310,12004,,RETRIB. BASICAS S.SOCIALES-C2,22467.52,,0,22467.52,26230.84
,,,,2310,12005,,RETRIBUC. BASICAS S. SOCIALES-E,9678.4,,0,9678.4,0.0
,,,,2310,12100,,COMPLEMENTO DESTINO S.SOCIALES,61828.6,,0,61828.6,42920.58
,,,,2310,12101,,COMPLEMENTO ESPECIFICO S.SOCIALES,70692.4,,0,70692.4,45489.91
,,,,2310,13100,,PERSONAL LABORAL TEMPORAL S.SOCIALES,219163.6,,0,219163.6,193610.31
,,,,2310,13101,,PERSONAL LAB TEMPORAL SERV. SOCIALES,0,,31775.71,31775.71,0.0
,,,,2310,14300,,OTRO PERSONAL FUNCIONARIO INTERINO,23485.08,,0,23485.08,49954.65
,,,,2310,15000,,PRODUCTIVIDAD FUNCIONARIOS S.SOCIALES,10086.81,,0,10086.81,8265.38
,,,,2310,15001,,PRODUCTIVIDAD LABORALES S.SOCIALES,6033.95,,0,6033.95,9996.88
,,,,2310,15100,,GRATIFICACIONES PERSONAL SERVICIOS SOCIALES,0,,0,0,1478.94
,,,,2310,16000,,SEGURIDAD SOCIAL FUNCIONARIOS S.SOCIALES,64602.09,,0,64602.09,41185.18
,,,,2310,16001,,SEGURIDAD SOCIALES PERSONAL LABORAL S.SOCIALES,78817.67,,8841.96,87659.63,82099.35
,,,,2310,21200,,MTO. CENTROS SERVICIOS SOCIALES,800,,0,800,76.19
,,,,2310,21300,,MANTENIMIENTO GRUAS Y CAMAS ARTICULADAS,1640,,0,1640,155.53
,,,,2310,21400,,MANTENIMIENTO VEHICULO SERV. SOCIALES,200,,0,200,197.9
,,,,2310,22000,,MATERIAL OFICINA SERVICIOS SOCIALES,600,,0,600,196.5
,,,,2310,22100,,ENERGIA ELECTRICA EDIFICIOS S.SOCIALES,20000,,0,20000,14365.34
,,,,2310,22105,,"PROD. ALIMENTICIOS, ENVASES, COMIDA Y AGUA",3300,,4116.33,7416.33,2122.95
,,,,2310,22601,,ATENCIONES PROTOCOLARIAS CONCEJALIA SERV. SOC.,300,,0,300,0.0
,,,,2310,22606,,"TALLERES TRABAJO GRUPAL ""PAIN""",900,,0,900,0.0
,,,,2310,22609,,TALLERES PREVENCION ABSENTISMO ESCOLAR,900,,0,900,0.0
,,,,2310,22697,,"PROYECTO ""CREE EN TI Y TODO SERA POSIBLE""",30000,,5617.5,35617.5,15948.6
,,,,2310,22698,,ACTIVIDADES DE VOLUNTARIADO,4000,,0,4000,809.42
,,,,2310,22699,,"ALOJAM. TEMPORAL, DECESOS Y OTR. GASTOS",500,,0,500,409.53
,,,,2310,22700,,LIMPIEZA EDIFICIOS S.SOCIALES,27951.58,,0,27951.58,25622.3
,,,,2310,22790,,CONTRATO SERVICIO VOLUNTARIADO,38600,,0,38600,18616.41
,,,,2310,22791,,ACTUACIONES EMERGENCIA SOCIAL COVID-19,0,,0,0,14143.68
,,,,2310,22792,,CTO. SERVICIO AYUDA A DOMICILIO (S.A.D.),42400,,0,42400,19253.85
,,,,2310,22793,,CTO. TELEASISTENCIA,32500,,0,32500,25893.44
,,,,2310,22794,,CTO. SERV. AYUDA A DOMICILIO DEPENDENC. (SAAD),375312,,0,375312,295127.37
,,,,2310,22796,,CTO. REFUERZO ATENCION SERV. SOCIALES,32000,,0,32000,12850.49
,,,,2310,22799,,"IMPARTICION DE ""ITINERARIOS"" INFORMACION Y ORIENT",49318.56,,0,49318.56,22542.5
,,,,2310,45390,,PATROCINIO UMU AYUDAS MATRÍCULAS,0,,4000,4000,4000.0
,,,,2310,48002,,CONVENIO CARITAS PALIAR POBREZA,6000,,0,6000,6000.0
,,,,2310,48003,,PRESTACION APOYO FAMILIAR REINSERCION SOCIAL,90000,,-4000,86000,34768.14
,,,,2310,48004,,PRESTACIONES A FAMILIAS CON MENORES,50000,,0,50000,11716.3
,,,,2310,48006,,SUBVENCIONES ASOCIACIONES Y ONG`S,20000,,0,20000,19693.66
,,,,2310,48007,,SUBVENCIÓN CRUZ ROJA AYUDAS URGENTE NECESIDAD,60000,,0,60000,60000.0
,,,,2310,48008,,AYUDAS CONTRA LA POBREZA ENERGETICA 2020,0,,0,0,0.0
,,,,2310,48009,,CONVENIO ASOC. PRO AYUDA ALIMENTARIA,6000,,0,6000,6000.0
,,,,2310,62510,,EQUIPAMIENTO NUEVO CENTRO MPAL. DE SERVICIOS SOCIALES,0,,15000,15000,1094.32
,,,,2311,13100,,PERSONAL LABORAL TEMPORAL C.ATENCION TEMPRANA,39494,,0,39494,39346.15
,,,,2311,15001,,PRODUCTIVIDAD LABORALES C.ATENCION TEMPRANA,1172.74,,0,1172.74,1975.16
,,,,2311,16001,,SEG. SOCIAL PERSONAL LABORAL C.ATENCION TEMPRANA,12875.04,,0,12875.04,13276.89
,,,,2311,22606,,"TALLER APOYO MUTUO, PADRES C.A.T.",5000,,0,5000,0.0
