#a,b,c,d,e,Código de Concepto,g,Descripción,Inicial,Modific.,Actual,l,m,n,o,p,q,r,s,DR Netos
,,,,,34100,,CENTRO DE ESTANCIAS DIURNAS,26185.87,0.0,26185.87,,,,,,,,,23092.77
,,,,,34101,,TELEASISTENCIA,16000.0,0.0,16000.0,,,,,,,,,14068.45
,,,,,34102,,CENTRO DE DÍA DISCAPACITADOS,0.0,0.0,0.0,,,,,,,,,1028.6
,,,,,34109,,C.E DIURNAS FVA,0.0,0.0,0.0,,,,,,,,,370.89
,,,,,34200,,P.P. ESCUELA INFANTIL,98000.0,0.0,98000.0,,,,,,,,,129997.86
,,,,,34201,,CUOTAS ESCUELA DE MUSICA,36787.8,0.0,36787.8,,,,,,,,,11546.0
,,,,,34202,,CUOTAS EDUCAVERANO,13085.4,0.0,13085.4,,,,,,,,,37350.0
,,,,,34203,,"PROGRAMA ""UN RATITO MAS""",5000.0,0.0,5000.0,,,,,,,,,147.0
,,,,,34209,,E.INFANTIL FVA,0.0,0.0,0.0,,,,,,,,,1455.42
,,,,,34213,,UN RATITO MAS FVA,0.0,0.0,0.0,,,,,,,,,56.0
,,,,,34300,,ESCUELAS DEPORTIVAS,76000.0,0.0,76000.0,,,,,,,,,88971.71
,,,,,34302,,INSTALACIONES DEPORTIVAS,25000.0,0.0,25000.0,,,,,,,,,64796.69
,,,,,34303,,P.P. PARKING MUNICIPAL,85000.0,0.0,85000.0,,,,,,,,,59633.0
,,,,,34304,,HUERTOS ECOLOGICOS,3658.68,0.0,3658.68,,,,,,,,,5920.0
,,,,,34401,,TAQUILLA TEATRO,4752.0,0.0,4752.0,,,,,,,,,2730.0
,,,,,34404,,VISITAS GUIADAS,0.0,0.0,0.0,,,,,,,,,1594.0
,,,,,34701,,ENLACES MATRIMONIALES,1050.0,0.0,1050.0,,,,,,,,,945.0
,,,,,35000,,COMP.ZONA 17-01,11250.0,0.0,11250.0,,,,,,,,,14976.28
,,,,,35009,,COMP.ZONA 17-01,0.0,0.0,0.0,,,,,,,,,553.18
,,,,,36000,,VENTA ELECTRICIDAD INST. FOTOVOLTAICA,0.0,0.0,0.0,,,,,,,,,67.56
,,,,,38900,,REINTEGROS DE EJERCICIOS CERRADOS,0.0,0.0,0.0,,,,,,,,,7734.98
,,,,,39100,,MULTAS INFRACCIONES URBANISTICAS,92000.0,0.0,92000.0,,,,,,,,,65187.18
,,,,,39109,,INFRACCION URB FVA,15260.43,0.0,15260.43,,,,,,,,,9113.1
,,,,,39120,,MULTAS CIRCULACION,213188.83,0.0,213188.83,,,,,,,,,446552.08
,,,,,39121,,SANCIONES RADAR,15000.0,0.0,15000.0,,,,,,,,,0.0
,,,,,39129,,MULTAS FVA,2010.65,0.0,2010.65,,,,,,,,,3931.47
,,,,,39190,,OTRAS MULTAS Y SANCIONES,89512.2,0.0,89512.2,,,,,,,,,209175.03
,,,,,39199,,OTRAS MULTAS FVA,0.0,0.0,0.0,,,,,,,,,6197.62
,,,,,39210,,RECARGO EJECUTIVO Y COSTAS,111044.95,0.0,111044.95,,,,,,,,,154203.29
,,,,,39300,,INTERESES DE DEMORA,46260.57,0.0,46260.57,,,,,,,,,217283.74
,,,,,39309,,INTERESES DE DEMORA FVA,0.0,0.0,0.0,,,,,,,,,1107.43
,,,,,39700,,CUOTAS URB.P.P. MESANA ELPOZO,205091.6,0.0,205091.6,,,,,,,,,0.0
,,,,,39900,,RECURSOS EVENTUALES,13357.43,0.0,13357.43,,,,,,,,,20372.23
,,,,,42000,,PARTICIPACION TRIBUTOS ESTADO (F.N.C.M.),4800000.0,0.0,4800000.0,,,,,,,,,4738102.58
,,,,,42020,,COMPENSACION IAE,240000.0,0.0,240000.0,,,,,,,,,246488.51
,,,,,42090,,SUB VENCION PACTO VIOLENCIA DE GENERO,6714.78,0.0,6714.78,,,,,,,,,0.0
,,,,,42091,,DESARROLLO PACTO ESTADO 21-22,0.0,16089.98,16089.98,,,,,,,,,16089.95
,,,,,42103,,SEF PEONES AGRICOLAS 2012,0.0,0.0,0.0,,,,,,,,,-11099.16
,,,,,42104,,CONSEJOS COMARCALES SEPE 21/22,0.0,180087.12,180087.12,,,,,,,,,180087.12
,,,,,45002,,C.ATENCION TEMPRANA Y C. OCUPACIONAL,52134.0,0.0,52134.0,,,,,,,,,0.0
,,,,,45003,,MTO CENTRO DIA DISCAPACITADOS,322579.32,0.0,322579.32,,,,,,,,,298029.26
,,,,,45004,,ATENCION PRIMARIA S.S.P.BASICAS.DEPENDENCIAS.INCLU,251613.15,0.0,251613.15,,,,,,,,,293218.0
,,,,,45005,,AYUDA A DOMICILIO PERSONAS DEPENDIENTES,304002.0,0.0,304002.0,,,,,,,,,240515.91
,,,,,45007,,PERSONAL CAVI ATT. MUJERES VIOLENCIA GENERO 21-22,96139.18,96139.18,192278.36,,,,,,,,,96139.18
,,,,,45008,,ACTUACIONES DE APOYO A LA FAMILIA E INFA,41696.61,0.0,41696.61,,,,,,,,,29196.61
,,,,,45012,,CTRO DE DIA MAYORES,247665.0,0.0,247665.0,,,,,,,,,221670.22
,,,,,45014,,SITUACIONES EXTRAORDINARIAS COVID-19,120000.0,0.0,120000.0,,,,,,,,,0.0
,,,,,45015,,ACTUACIONES APOYO FAMILIA E INFANCIA 2019,0.0,0.0,0.0,,,,,,,,,-11036.21
,,,,,45016,,PROGRAMA MPAL. DE IGUALDAD-PACTO ESTADO 2020,9500.0,0.0,9500.0,,,,,,,,,0.0
,,,,,45017,,PREVENCION ADICCIONES,0.0,0.0,0.0,,,,,,,,,4718.0
,,,,,45018,,PROGRAMA INCLUSION SOCIAL 2010,0.0,0.0,0.0,,,,,,,,,-1522.52
,,,,,45019,,SERVICIO CONCILIACION,0.0,0.0,0.0,,,,,,,,,16856.0
,,,,,45020,,MTO CTRO ATENCION TEMPRANA COVID 19,0.0,0.0,0.0,,,,,,,,,3342.8
,,,,,45030,,ATENCION PRIMARIA SITUACIONES COVID 21-22,0.0,44734.0,44734.0,,,,,,,,,44734.0
,,,,,45050,,SERVICIOS GARANTIA JUVENIL PO FSE,24453.36,0.0,24453.36,,,,,,,,,22165.0
,,,,,45052,,SERVICIO GARANTIA JUVENIL POEJ,23256.96,0.0,23256.96,,,,,,,,,18582.32
,,,,,45053,,SUBV. PROYECTO WIFI4EU,15000.0,0.0,15000.0,,,,,,,,,0.0
,,,,,45054,,PLAN SEGURIDAD CIUDADANA UESCARM,287500.0,0.0,287500.0,,,,,,,,,0.0
,,,,,45060,,PLAN INFORMUR,5500.0,0.0,5500.0,,,,,,,,,6500.0
,,,,,45061,,IMPULSO PEQUEÑO Y MED.COMERCIO COVID 19 BONOS,0.0,20000.0,20000.0,,,,,,,,,20000.0
,,,,,45062,,GARANTÍA JUVENIL 2019 y 20,0.0,0.0,0.0,,,,,,,,,-25705.82
,,,,,45063,,GARANTÍA JUVENIL PO-FSE 2018,0.0,0.0,0.0,,,,,,,,,-145.39
,,,,,45064,,DROGODEPENDENCIAS 19,0.0,0.0,0.0,,,,,,,,,-4500.0
,,,,,45065,,PROGRAMA AYUDA A POLICIAS LOCALES 21,0.0,0.0,0.0,,,,,,,,,287500.0
,,,,,45066,,APOYO A LA FAMILIA E INFANCIA 21,0.0,0.0,0.0,,,,,,,,,41696.61
,,,,,45100,,SEF YACIMIENTO PALERAS Y MURTAL 21/22,0.0,86379.56,86379.56,,,,,,,,,86379.56
,,,,,45104,,TALLER EMPLEO RECUPERAC. PATRIMONIO Y PAISAJE CULTURAL,0.0,92032.47,92032.47,,,,,,,,,42952.68
,,,,,45563,,SUB. MEDIO AMBIENTE 2009 (DE LA PLAYA A LA MONT,0.0,0.0,0.0,,,,,,,,,-19611.0
,,,,,47001,,COLABORACIONES FERIA,0.0,0.0,0.0,,,,,,,,,3625.0
,,,,,47005,,COLABORACIONES SEMANA FLAMENCA,0.0,4450.0,4450.0,,,,,,,,,4450.0
,,,,,48000,,ACTIVIDADES DIA DE LA MUJER,2998.0,0.0,2998.0,,,,,,,,,0.0
,,,,,52000,,INTERESES DE DEPOSITOS,200.0,0.0,200.0,,,,,,,,,0.0
,,,,,54001,,CONCESIONES DEMANIALES,0.0,0.0,0.0,,,,,,,,,1594.8
,,,,,54002,,OCUP.VIA P.GARAJE AMERICAS,504.0,0.0,504.0,,,,,,,,,504.0
,,,,,54101,,CANON POR ARRENDAMIENTO BAJOS DE CONDADO ALHAMA,11830.11,0.0,11830.11,,,,,,,,,11830.11
,,,,,54201,,CANON ARRENDAMIENTO PARCELA RUSTICA ORANGE,6879.92,0.0,6879.92,,,,,,,,,6982.63
,,,,,55011,,CAMPING SIERRA ESPUÑA,3519.4,0.0,3519.4,,,,,,,,,7038.8
,,,,,55026,,ANTENA VODAFONE,4197.48,0.0,4197.48,,,,,,,,,3150.13
,,,,,55027,,CANON MERCADILLO POLARIS,3263.05,0.0,3263.05,,,,,,,,,0.0
,,,,,59909,,CANON SOCAMEX,550000.0,0.0,550000.0,,,,,,,,,0.0
,,,,,60100,,EXPROPIACIONES ADIF ALTA VELOCIDAD,0.0,0.0,0.0,,,,,,,,,56601.21
,,,,,72001,,IMPLANTACION RECOGIDA BIORRESIDUOS 18,0.0,0.0,0.0,,,,,,,,,-80865.64
,,,,,72002,,SUB. RESTAURACIÓN CASTILLO,0.0,944752.91,944752.91,,,,,,,,,944752.91
,,,,,72003,,REPARAC. INFRAESTRUCTURAS. DANA 2019,0.0,142560.83,142560.83,,,,,,,,,137130.34
,,,,,75007,,MEJORA EFIC. ENERG. Bº S.CRISTOBAL Y PAVIMENTAC. C/ FLORENCIO JAVALOY Y CIRCULO POS 20-21,0.0,186364.0,186364.0,,,,,,,,,186364.0
,,,,,75014,,CENTRO ATENCION TEMPRANA INVERSIONES COVID,0.0,1894.0,1894.0,,,,,,,,,1894.0
,,,,,75030,,IMPLANTACION TDT 2012,0.0,0.0,0.0,,,,,,,,,-4107.73
,,,,,75060,,DAÑOS LLUVIAS DANA 16,0.0,0.0,0.0,,,,,,,,,46420.62
,,,,,87000,,REMANENTE DE TESORERIA PARA GASTOS GE,0.0,7061137.17,7061137.17,,,,,,,,,0.0
,,,,,87010,,REMANENTE DE TESORERIA PARA GASTOS CO,0.0,1860120.12,1860120.12,,,,,,,,,0.0
