#codfun,codecopartida,nompartida,iniciales,modificados,definitivos,obligaciones
150,22709,OBRAS DE EJECUCION SUBSIDIARIA,1000,13602.61,14602.61,7502
150,22799,AGUAS MINEROMEDICINALES (R.E.),363,0,363,363
150,60000,ACONDIC. CAMINOS MUNICIPALES (BACHEOS),20000,1090.3,21090.3,21090.3
150,60090,INVERSIONES TERRENOS P.M.S. (I.R.),0,256092.75,256092.75,37180.47
150,60091,REINCORPORACION A P.M.S. (I.R.),0,247318.13,247318.13,0
150,60092,UNIDADES DE ACTUACION VARIAS (I.R.),0,3851.57,3851.57,0
150,60093,CAMPO DE VUELO,0,1200000,1200000,0
150,60094,POLARIS WORLD,0,355292.45,355292.45,0
150,60100,POSTIGOS PLATAFORMA UNICA,0,160724.62,160724.62,0
150,60902,PASEO DE LA COSTERA,0,70000,70000,54473.55
150,60990,ACTUACIONES P.P. LOS SECANOS (I.R.),0,103354,103354,0
150,61991,CONTR. ESPEC. RESTAURAC. FACHADAS C/ LARGA (I.R.),0,448,448,0
150,62290,ACONDICIONAMIENTO NUEVO ALMACEN MPAL. (I.R.),0,20000,20000,898.67
150,62500,EQUIPAMIENTO URBANISMO,1000,9680,10680,9680
155,12000,RETRIBUCIONES BASICAS VIAS PUBLICAS,0,0,0,5979.6
155,12100,COMPLEMENTO DESTINO VIAS PUBLICAS,0,0,0,2399.41
155,12101,COMPLEMENTO ESPECIFICO VIAS PUBLICAS,0,0,0,4730.62
155,13100,PERS. LABORAL EVENTUAL OBRAS Y SERV.,54205.2,0,54205.2,26734.2
155,13101,OTRO PERSONAL LABORAL PEONES AGRICOLAS,38678.76,0,38678.76,31313.94
155,13102,M.O. CONSEJOS COMARCALES 1ª Y 2ª FASE 2014,0,109915.45,109915.45,46865.8
155,21000,MANTENIMIENTO VIAS PUBLICAS,60000,0,60000,80872.09
155,21001,SUMINISTRO CARTELERIA LICENCIAS OBRA,10890,0,10890,2601.5
155,21200,MTO. EDIFICIOS E INSTALACIONES PUBLICAS,45000,-3133.26,41866.74,38126.07
155,22100,MATERIALES CONSERV.. ESPAC. PUB. CONSEJOS COMARCAL,16000,-7935,8065,3756.35
155,60990,PLAN ASFALTO 2009 (I.R.),0,932,932,0
155,60991,DESARROLLO RURAL CAMINO LOS MOLINOS (I.R.),0,1164,1164,0
155,61900,RESTITUC. PASO DE RBLA. CON BADEN EN CAÑARICO,0,13851.74,13851.74,9710.95
155,61901,RESTITUC. DE TALUD CON MURO CTRA. N-340,0,22009.22,22009.22,15626.55
155,61902,RESTITUC. DE TALUD CON ESCOLLERA CTRA. N-340,0,7493.99,7493.99,5559.8
155,61990,ADECUAC. DE ACCESOS A NUCLEO URBANO DEL BERRO (I.R,0,50000,50000,0
155,61992,PAVIM. C/ CAÑADAS Y OTR. P.O.S. 2012 (I.R.),0,24651,24651,0
155,62500,EQUIPAMIENTO OBRAS Y SERV.,1000,10068.26,11068.26,10068.26
161,22502,"CANON VERTIDOS, SANEAM. Y OTROS",9000,0,9000,9065.39
161,22700,SUMINISTRO AGUA POTABLE,2800000,0,2800000,2692279.53
161,63291,REDES DE SANEAMIENTO EN C/ ALQUERIAS (I.R.),0,6360,6360,0
163,22700,RECOGIDA DE R.S.U. Y LIMPIEZA VIARIA,1905484.04,0,1905484.04,1894143.48
163,22701,ELIMINACION Y TRATAMIENTO DE R.S.U.,289545.72,0,289545.72,267254.23
165,21300,MTO. ALUMBRADO PUBLICO,35000,-14496.49,20503.51,38149.51
165,21301,MTO. ALUMBRADO EDIFICIOS PUBLICOS,10000,0,10000,13637.22
165,22501,TASAS ALUMBRADO PUBLICO,3500,0,3500,3023.97
165,22710,INSTALAC.  ELECTRICAS ACTOS EVENTUALES,65000,-3570.46,61429.54,39398.66
165,60990,ALUMBRADO PUBLICO BARRIO SAN JOSE (I.R.),0,15262,15262,0
165,61991,ALUMBR. PUBL. EN GEBAS Y PARQUE LA CUBANA (I.R.),0,117,117,0
165,62500,EQUIPAMIENTO ALUMBADO PUBLICO,1000,18066.95,19066.95,18066.95
165,63292,ALUMBR. PUBLICO BO. LOS DOLORES Y OTR. (I.R.),0,15687,15687,0
169,22700,RECOGIDA DE ENSERES,7776,0,7776,8002.5
169,22703,CONTROL DE AVIFAUNA,8445.8,0,8445.8,5850
169,22707,RECOGIDA Y CONTROL ANIMALES EN VIA PUBLICA,9240,0,9240,8536
169,22799,RECOGIDA Y CONTROL ANIMALES V.P. (R.E),872.1,0,872.1,872.1
170,12000,RETRIB. BASICAS MEDIO AMBIENTE,24732.98,0,24732.98,6596.63
170,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
170,12100,COMPLEMENTO DESTINO MEDIO AMBIENTE,13254.71,0,13254.71,1257.61
170,12101,COMPLEMENTO ESPECIFICO MEDIO AMBIENTE,17116.54,0,17116.54,1720.05
170,21201,MANTENIMIENTO BICIALHAMA,2000,-842.89,1157.11,0
170,22400,PRIMAS DE SEGUROS DE MEDIOAMBIENTE,0,0,0,527.44
170,22500,"TASA COTO PRIVADO ""UMBRIA CARRASCOY""",1500,0,1500,147.5
170,22600,GTOS. DIVERSOS MEDIOAMBIENTE,1000,-3527.64,-2527.64,247.5
170,22603,HUERTOS ECOLOGICOS FAMILIARES,10000,0,10000,6042.5
170,22608,CONSERV. LA MALVASIA-PROY.LIFE- (I.R.),9915,75527.22,85442.22,61319.17
170,22609,FORMACION Y DIVULGACION MEDIO AMBIENTE,9000,-3961.65,5038.35,2011.02
170,22611,SENDEROS ECOTURISTICOS,7000,0,7000,9314.12
170,22700,RECOGIDA RESIDUOS BIOSANITARIOS Y OTROS,1600,0,1600,222.75
170,22704,"RECOGIDA PILAS, ACEITES Y RESID. INDUSTRIALES",2000,0,2000,261.76
170,22706,GESTION Y ADECUAC. AMBIENTAL PARCELAS MPALES.,3000,0,3000,980.1
170,22709,GESTION ECOPARQUE,20000,0,20000,6967.8
170,24000,EDICIONES Y OTRAS PUBLICACIONES MED. AMB.,1000,0,1000,510
170,48000,"CONVENIO HUERTOS ECOLOG. FAMIL. ""LA ALMAJARA""",4500,0,4500,2500
170,48001,SUBVENCIONES PARA ACTIV. DIVULGACION AMBIENTAL,4000,0,4000,0
170,60090,INVER.EN TERRENOS PARA MEJORA MEDIOAMBIENTAL (I.R.,0,441970.47,441970.47,0
170,62100,INVERSIONES EN SENDEROS ECOTURISTICOS,0,12000,12000,5009.4
170,62101,OBRAS ACONDIC. APARCAM. Y PUNTOS DE ENCUENTRO M,0,23669.54,23669.54,23590.89
170,62102,CONEXION PEATONAL JARRO ORO-LOS MOLINOS,138253.93,29033.33,167287.26,0
170,62103,"ACONDIC. ""EL CHARCO""(CARRASCOY) Y ""LOS MOLINOS""",0,15000,15000,0
170,62202,PUNTOS VERDES EN ESPACIOS  PROTEGIDOS,0,27000,27000,0
170,62300,INSTALC. ENERGIAS RENOVABLES,30000,5000,35000,0
170,62302,IMPLANTAC. MEDIDAS BAJO COSTE EN INSTALAC. MPLES.,0,13000,13000,0
170,62303,PROYECTO MEDEA,0,4000,4000,0
171,12000,RETRIB.  BASICAS PARQUES Y JARDINES,63143.69,0,63143.69,0
171,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
171,12100,COMPLEM. DESTINO PARQUES Y JARDINES,30426.76,0,30426.76,0
171,12101,COMPLEM. ESPECIFICO PARQUES Y JARDINES,54219.48,0,54219.48,0
171,13000,RETRIB. PERSONAL LABORAL PARQUES Y JARDINES,39154.64,0,39154.64,41828.36
171,13100,PERSONAL LABORAL TEMPORAL PARQ. Y JARDINES,0,0,0,4113.03
171,22600,MTO. GRAL. PARQUES Y JARDINES,40000,-11862.67,28137.33,32021.37
171,22609,ANIMACION EN JARDINES,0,0,0,792
171,22703,FUMIGACION Y PODAS EN JARDINES,18000,0,18000,20497.54
171,22704,GESTION RESIDUOS VEGETALES DE JARDINES,2000,0,2000,1787.5
171,22707,MTO. ZONAS VERDES SECTOR I- II,163955,0,163955,160007.4
171,22709,MTO. JUEGOS INFANTILES EN PARQUES,6000,-2385.58,3614.42,519.09
171,60900,PASEO LA CUBANA. AMPLIACION JARDIN LA CUBANA,0,250000,250000,0
171,60902,JARDIN DE LAS CAÑADAS,0,35000,35000,34604.94
171,60990,ACONDICIONAMIENTO JARDIN PACO RABAL (I.R.),0,39350.92,39350.92,0
171,62190,RIEGO EN PARQUES Y JARDINES. FASE II (I.R.),0,82198,82198,0
171,62500,EQUIPAMIENTO PARQUES Y JARDINES,1000,15248.25,16248.25,15248.25
221,16000,SEGURIDAD SOCIAL,1450477.84,1506.76,1451984.6,1297578.43
221,16009,ACCIDENTE Y COMPLEMENTO ACCIDENTE,3000,0,3000,7628.27
221,16104,INDEMNIZACION POR JUBILACION,0,0,0,18148.41
221,16105,PLAN DE PENSIONES,0,0,0,0
221,16200,FORMAC. Y PERFECC. DEL PERSONAL,8000,0,8000,10093.99
221,16204,ACCION SOCIAL,10000,0,10000,2483.08
221,16209,GARANTIA SALARIAL,60000,0,60000,176353.9
221,16400,COMPLEMENTO FAMILIAR,3000,0,3000,0
230,12000,RETRIB. BASICAS S.SOCIALES,99142.97,0,99142.97,66948.33
230,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
230,12100,COMPLEM. DESTINO S.SOCIALES,57818.1,0,57818.1,29585.73
230,12101,COMPLEM. ESPECIFICO S.SOCIALES,60928.89,0,60928.89,30332.46
230,13100,RETRIB. PERSONAL LABORAL S.SOCIALES,162496.45,-2000,160496.45,153395.7
230,22000,MATERIAL OFICINA S.SOCIALES,1094,0,1094,51.9
230,22300,DESPLAZAMIENTO TRANSEUNTES,1000,0,1000,843.2
230,22600,GTOS. CORRIENTES SERVICIOS SOCIALES,3500,-4290,-790,2044.35
230,22605,PROG. INCLUSION SOCIAL,17300,-726,16574,150
230,22610,TALLER DE DINAMIZACION SOCIAL,13700,0,13700,14699.5
230,22612,TALLER ATENCION PSICOSOCIAL,7000,-1455.9,5544.1,1595.31
230,22615,PROG. VOLUNTARIADO,14500,-2000,12500,8448.92
230,22699,CENTRO ATENCION PSICOSOCIAL (R.E.),35.05,0,35.05,35.05
230,22706,CTOS. S. SOCIALES,108350,-4000,104350,116482.18
230,22709,AYUDA A DOMICILIO (ORD. Y EXTRAOR.),60000,0,60000,54866.58
230,22710,TELEASISTENCIA,40000,0,40000,34208.08
230,22711,SERVICIO COMIDAS A DOMICILIO,13000,-2000,11000,0
230,48000,AYUDAS DE EMERGENCIA SOCIAL,100000,0,100000,98874.32
230,48001,AYUDAS CUOTAS E.INFANTIL,18000,0,18000,11026.65
230,48002,AYUDAS COMEDORES ESCOLARES,12000,0,12000,12000
230,48003,SUBVENCION ASOCIACION FRANCISCO MUNUERA,5000,0,5000,5000
230,48004,SUBV. ASOC. PROSAUCE LAS FLOTAS,3600,0,3600,3600
230,48005,REPARTO DE AYUDA DE ALIMENTOS,0,2000,2000,0
230,48006,SUBVENCION A PROYECTOS SOCIALES,0,8000,8000,7186.05
230,48007,SUBVENCION CRUZ ROJA,16000,0,16000,16000
230,48008,CONCURSO CARTELES MUJER,0,290,290,290
230,62500,MOBILIARIO SERVICIOS SOCIALES,1200,2755.9,3955.9,3515.68
230,63290,REMODELACION CENTRO SERVICIOS SOCIALES (I.R),0,3245,3245,0
231,13100,RETR. PERS. LAB. TEMP. C.ATT. TEMPRANA,41741.89,0,41741.89,31273.06
231,22600,GTOS. DIVERSOS C.ATENCION TEMPRANA,1500,0,1500,1871.52
231,22610,MTO. C.E.D LAS SALINAS,2000,0,2000,2930.97
231,22700,SERV. FISIOTERAPIA C. ATENCION TEMPRANA,10350,0,10350,8628
231,22703,GESTION CENTRO DE DIA LAS SALINAS,162154.32,0,162154.32,164221.68
231,22704,CATERING CENTRO DE DIA LAS SALINAS,35144.64,-1149.5,33995.14,27351.82
231,62500,EQUIPAM. CENTROS ATT. TEMPRANA Y LAS SALINAS,1000,1149.5,2149.5,1149.5
232,21300,MTO. MAQUINARIA C. ESTANCIAS DIURNAS,1000,0,1000,0
232,22103,COMBUSTIBLE CALEFACCION C.E.D.,150,0,150,326.07
232,22609,ACTIVIDADES C.ESTANCIAS DIURNAS,1000,0,1000,0
232,22703,GESTION C.ESTANCIAS DIURNAS,190000,0,190000,184212.72
232,62500,EQUIPAMIENTO CENTRO ESTANCIAS DIURNAS,5000,0,5000,3762.48
233,21300,MTO. CENTRO MAYORES,2300,0,2300,1889.83
233,22001,PRENSA Y REVISTAS Y MAT. OFICINA MAYORES,700,0,700,1273.9
233,22606,"ACTIVIDADES NAVIDAD, CARNAVAL Y SEMANA MAYORES",12000,726,12726,12219.94
233,22609,FESTEJOS  MAYORES,10000,0,10000,10692.14
233,22701,ORGANIZ. C.MAYORES (CONSERJES),15400,0,15400,15400
233,22703,TALLERES C.MAYORES,16600,2900,19500,18907.6
233,48000,PREMIOS CONCURSOS MAYORES,1000,90,1090,1090
233,62500,MOBILIARIO CENTRO MAYORES,3000,0,3000,2694.14
234,12000,RETRIB. BASICAS MUJER,8879.1,2895.36,11774.46,11074.56
234,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
234,12100,COMPLEM. DESTINO MUJER,4584.16,1074.08,5658.24,4432.85
234,12101,COMPLEM. ESPECIFICO MUJER,2446.36,837.8,3284.16,4202.78
234,13000,RETRIB. PERS. LABORAL MUJER,12961.97,0,12961.97,0
234,13100,RETRIBUC. PERS. LABORAL TEMP. MUJER,26991.86,0,26991.86,0
234,22000,MATERIAL OFICINA C.MUJER,1676,0,1676,640.25
234,22400,SEGUROS DE CURSOS Y OTROS MUJER,0,0,0,36.21
234,22600,GTOS. CORRIENTE MUJER,1000,0,1000,1195.85
234,22603,GASTOS C.A.V.I.,2000,-290,1710,0
234,22609,PLAN DE IGUALDAD Y DIA INTERNACIONAL DE LA MUJER,8360,4294,12654,10507.26
234,22706,CURSOS C.MUJER,10000,0,10000,12710
234,24000,EDICIONES Y PUBLICACIONES MUJER,0,0,0,611.05
234,26699,GASTOS CORRIENTES MUJER (R.E.),24.5,0,24.5,24.5
234,48000,SUBVENCIONES ASOCIAC. MUJER,4000,0,4000,3999.26
234,48001,PREMIOS DIA INTERNACIONAL MUJER Y OTROS,640,0,640,640
234,62500,MOBILIARIO VIVERO DE EMPRESAS MUJER,500,0,500,0
240,62290,INVERSIONES TALLER DE EMPLEO (I.R.),0,2282,2282,0
241,12000,RETRIB. BASICAS EMPLEO,55836.48,0,55836.48,65527.26
241,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
241,12100,COMPLEMENTO DESTINO EMPLEO,32214.42,0,32214.42,27898.08
241,12101,COMPLEMENTO ESPECIFICO EMPLEO,36504.72,-3948.36,32556.36,31861.2
241,13100,RETRIB. PERSONAL LAB. TEMP.  EMPLEO,7183.68,0,7183.68,33677.16
241,22000,MATERIAL OFICINA EMPLEO,3600,0,3600,2529.9
241,22600,GTOS. CORRIENTE EMPLEO,5000,0,5000,1144.13
241,22601,GASTOS PROTOCOLO EMPLEO,0,0,0,183.2
241,22602,PUBLICIDAD Y PROPAGANDA EMPLEO,0,0,0,302.5
241,22608,CURSO OPERAC. AUX. DE SERV. ADMINISTRATIVOS Y GRAL,0,26052,26052,1401.6
241,22609,CURSOS FPO,26052,0,26052,2090.4
241,22610,OTROS CURSOS EMPLEO,10000,0,10000,6970
241,47900,CUOTA PARTICIPACIÓN INTEGRAL,212.1,0,212.1,212.1
241,47901,CUOTA GRUPO ACCION LOCAL S. ESPUÑA,1000,0,1000,0
241,48000,SUBVENCIONES PLANES EMPLEO,0,43948.36,43948.36,41898.36
241,62500,EQUIPAMIENTO EMPLEO,1000,0,1000,0
242,22100,MATERIALES TALLER EMPLEO 2011/2012,100,0,100,0
313,22600,CHARLAS DIVULGATIVAS SOBRE SALUD,3000,0,3000,801
313,22601,GASTOS PROTOCOLARIOS,0,0,0,1824.2
313,22609,PROGRAMA DROGODEPENDENCIAS,8000,0,8000,4945.53
313,22610,GASTOS CTES. SANIDAD,2800,-1100,1700,0
313,22700,DESRATIZACION Y DESINFECCION,14000,0,14000,14316.6
313,48000,CONVENIO CRUZ ROJA,48000,0,48000,48000
313,62500,EQUIPAMIENTO SANIDAD,1000,0,1000,0
320,12000,RETRIB. BASICAS EDUCACION,76355.33,0,76355.33,111910.63
320,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
320,12100,COMPLEMENTO DESTINO EDUCACION,36296.19,0,36296.19,39510.41
320,12101,COMPLEMENTO ESPECIFICO EDUCACION,66244.29,0,66244.29,68199.01
320,13100,RETRIB. PERS. LAB. TEMPORAL EDUCACION,12201,0,12201,5353.13
320,21200,MTO. COLEGIOS,35000,-6750.63,28249.37,34093.66
320,22103,COMBUSTIBLE CALEFACCION C.E.I.P,25000,1100,26100,37348.21
320,22600,GTOS. CORRIENTES EDUCACION,3000,0,3000,3255.31
320,22601,BANCO DE LIBROS,16000,0,16000,13828.81
320,22605,GASTOS PROTOCOLARIOS CONC. EDUCACION,0,0,0,17.05
320,22610,TALLERES EDUCATIVOS,15000,0,15000,17432.01
320,22612,ESCUELA OFICIAL DE IDIOMAS,2500,0,2500,0
320,22699,BANCO DE LIBROS (R.E.),259.4,0,259.4,259.4
320,22703,GESTION E.I. GLORIA FUERTES,278344.06,0,278344.06,277640.96
320,22707,GESTION C.A.I. LOS CEREZOS,119352.82,0,119352.82,118484.28
320,22710,MEDIDAS ALTERNATIVAS A EXPULSION ESCOLAR,18000,0,18000,12800
320,22711,SERVICIO PROXIMIDAD MATUTINO,20000,0,20000,16571.85
320,22712,ESCUELA DE VERANO,27500,0,27500,20575
320,24000,EDICIONES CONCEJ. EDUCACION,0,0,0,1978.8
320,48000,SUBV. SERV. PROX. COLEGIO CONCERTADO,3600,-2850.26,749.74,749.74
320,48001,PREMIOS CONCURSO CUENTOS INFANTILES,1500,0,1500,650
320,48002,BECAS ERASMUS E ILA,5000,-1712.65,3287.35,600
320,48003,A.M.P.A. C.E.I.P. GINES DIAZ-S.CRISTOBAL,700,0,700,700
320,48004,A.M.P.A. C.E.I.P. SIERRA ESPUÑA,700,0,700,700
320,48005,A.M.P.A. C.E.I.P. ANTONIO MACHADO,700,0,700,700
320,48006,A.M.P.A. C.E.I.P. PRINCIPE DE ESPAÑA,700,0,700,700
320,48007,A.M.P.A C.E.I.P. NTRA. SRA. DEL ROSARIO,700,0,700,700
320,48008,A.M.P.A. C.E.I.P. RICARDO CODORNIU,700,0,700,700
320,48009,A.M.P.A. I.E.S. MIGUEL HERNANDEZ,700,0,700,700
320,48010,A.M.P.A. I.E.S. VALLE DE LEYVA,700,0,700,700
320,48011,A.M.P.A. C.A.I. LOS CEREZOS,700,0,700,700
320,48012,A.M.P.A. E.I. GLORIA FUERTES,700,0,700,700
320,48013,A.M.P.A. AZARAQUE,700,0,700,200
320,62501,EQUIPAMIENTO EDUCA-3,70000,0,70000,70000
320,63200,OBRAS EN COLEGIOS,20000,10563.54,30563.54,20563.44
320,63201,REFORMA GRADERIO Y DEPENDENCIAS DEL AUDITORIO,0,60000,60000,8420.52
330,12000,RETRIB. BASICAS CULTURA,90666.51,0,90666.51,59402.75
330,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
330,12100,COMPLEM. DESTINO CULTURA,49179.41,0,49179.41,23523.2
330,12101,COMPLEMENTO ESPECIFICO CULTURA,56330.33,0,56330.33,26447.96
330,13000,RETRIB. PERSONAL LABORAL CULTURA,8842.75,0,8842.75,0
330,13100,RETRIB. PERS. LABORAL TEMPORAL CULTURA,44924.46,0,44924.46,34957.81
330,20200,ARRENTO. CINE VELASCO,36000,0,36000,36734.41
330,21200,MANTENIMIENTO EDIFICIOS CULTURA,0,0,0,1873.13
330,22000,MATERIAL OFICINA ADMINISTRACION CULTURA,0,0,0,292.1
330,22103,COMBUSTIBLE CALEFAC.. EDIF. CULTURA,3000,0,3000,17.5
330,22601,GASTOS FUNCIONAMIENTO  CULTURA,5000,0,5000,4139.03
330,22602,PUBLICIDAD Y PROPAGANDA CULTURA,0,0,0,4926.1
330,22609,VIAJES C.CULTURA,1000,0,1000,250
330,22703,RAIDER CINE VELASCO,30762.71,0,30762.71,30762.6
330,24000,EDICIONES Y PUBLICACIONES C.CULTURA,5000,0,5000,17929.35
330,62500,EQUIPAMIENTO CULTURA,1000,3628.6,4628.6,3628.26
332,21600,MTO. PROG. INFORMATICO ARCHIVO Y BIBLIOTECA,0,0,0,835.71
332,22001,MATERIAL DIDACTICO BIBLIOTECA Y ARCHIVO,1000,0,1000,0
332,22600,GASTOS DIVERSOS BIBLIOTECA,2990,0,2990,14.47
332,22609,ACTIV. FOMENTO DE LA LECTURA,3000,0,3000,1600
332,22610,TALLERES INFANTILES ARCHIVO Y BIBLIOTECA,1500,-60,1440,0
332,22611,FONDO BIBLIOGRAFICO,3000,0,3000,6252.1
332,48000,BECAS SALA DE ESTUDIO,3000,60,3060,3060
332,48002,PREMIOS CONCURSOS CULTURA,3010,695,3705,3535
333,22600,GTOS. MTO. MUSEO LOS BAÑOS,5000,-2000,3000,445.34
333,22608,CAMPO DE TRABAJO MUSEO LOS BAÑOS,0,0,0,2250.46
333,22609,ACTIVIDADES EN EL MUSEO LOS BAÑOS,5000,0,5000,5049.77
333,22700,GUIA MUSEO Y ATT. AL PUBLICO,5000,-128.6,4871.4,1926
333,24000,EDICIONES Y FOLLETOS MUSEO,3000,0,3000,0
334,22608,"TALLER DE TEATRO ""LAS FLOTAS""",0,0,0,1250
334,22609,TEATRO,33000,6319,39319,51975.18
334,22610,MUSICA,11500,-695,10805,7826.54
334,22611,CINE,6000,0,6000,860.73
334,22612,EXPOSICIONES C.CULTURA,10000,0,10000,6470.17
334,22613,CERTAMENES CULTURA,8600,0,8600,6924.81
334,22614,TALLERES C.CULTURA,9100,0,9100,250
334,48000,CONVENIO JUNTA DE COFRADIAS,48000,0,48000,48000
334,48002,CONVENIO ESCUELA DE MUSICA,68474.1,0,68474.1,68474.1
334,48003,CONVENIO BANDA DE MUSICA,9000,0,9000,9000
334,48004,CONVENIO AGRUPACION CORAL DE ALHAMA,4000,0,4000,3999.96
334,48005,SUBVENCION HERMANDAD VIRGEN DEL ROSARIO,1000,0,1000,0
334,48006,PREMIOS CERTAMENES Y CONCURSOS CULTURA,8400,3400,11800,9690
334,48007,CONVENIO GRUPO FOLKLORICO VILLA DE ALHAMA,4000,0,4000,4000
334,48008,CONVENIO GRUPO FOLKLORICO VIRGEN DEL ROSARIO,4000,0,4000,4000
336,21200,MANT. ACCESOS Y PERIMETRO CASTILLO,0,0,0,304.9
336,21201,OTROS TRABAJOS PARA PROTECC. DEL PATRIMONIO,0,0,0,363
336,22100,MATERIALES EXCAV. ARQUEOLOGICAS,1000,0,1000,0
336,63290,REHABILITACION CASA DE LAS MENAS (I.R.),0,20475,20475,0
336,68201,CIERRE DE MURALLA RECINTO INTERMED. CASTILLO,0,20000,20000,0
337,12000,RETRIB. BASICAS JUVENTUD,26956.98,0,26956.98,24540.7
337,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
337,12100,COMPLEMENTO DESTINO JUVENTUD,15290.8,0,15290.8,9687.28
337,12101,COMPLEMENTO ESPECIFICO JUVENTUD,17802.05,0,17802.05,11407.69
337,13100,RETRIB. PERS. LAB. TEMPORAL JUVENTUD,9034.2,0,9034.2,7352.84
337,22600,GTOS. CORRIENTES JUVENTUD,1500,0,1500,127.65
337,22609,ACTIVIDADES INFANTILES Y JUVENILES,25500,-2800,22700,29210.9
337,22610,LUDOTECA LA COMETA ALEGRE,7000,0,7000,1030.25
337,22611,CURSOS CONCEJALIA JUVENTUD,5000,0,5000,5258.6
