#ANYPPTO,CODECOCONC,NOMCONCEPT,Inicial,Modifica,Actual,DRNeto
2014,39600,ACTUACIONES URBANISTICAS (NO),,20000.0,20000.0,
2014,39619,CUOTAS URB.C/TOMILLO FRACCIONAMIENTOS,,,,152924.92
2014,39709,APROV. URBAN FRACCIONAMIENTOS,,,,57406.85
2014,39900,RECURSOS EVENTUALES,1000.0,,1000.0,6386.82
2014,39902,EJECUCION DE FIANZAS,,3872.0,3872.0,6000.0
2014,39904,EJECUCIONES SUBSIDIARIAS,1000.0,9730.61,10730.61,70485.13
2014,42000,PARTICIPACION TRIBUTOS ESTADO (F.N.C.M.),4100000.0,,4100000.0,3299643.49
2014,42003,DEL SEF,,,,-22158.69
2014,42010,COMPENSACION IAE,178000.0,,178000.0,179617.33
2014,42100,M.O. CONSEJOS COMARCALES 1ª Y 2ª FASE 2014,,109915.45,109915.45,109915.45
2014,45002,C.ATENCION TEMPRANA Y C. OCUPACIONAL,21060.0,,21060.0,
2014,45003,MTO CENTRO DIA DISCAPACITADOS,170144.0,,170144.0,115789.88
2014,45004,ATENCION PRIMARIA S.S.P.BASICAS.DEPENDENCIAS.INCLU,187468.0,,187468.0,41642.75
2014,45005,LUCHA CONTRA LA POBREZA INFANTIL,,,,18193.25
2014,45007,PERSONAL PUNTO ATENCION ESPECIALIZADO CAVI,,6314.0,6314.0,6314.0
2014,45008,"CONCILIACION DE LA VIDA PERSONAL, LABORAL Y FAMILI",,,,7929.0
2014,45012,CTRO DE DIA MAYORES,195300.0,,195300.0,160526.36
2014,45014,PROG.DROGODEPENDENCIA,4500.0,,4500.0,4536.0
2014,45034,MEDIDAS ALTERNATIVAS A LA EXPULSION ESCOLAR,3500.0,,3500.0,
2014,45048,AGENTE DESARROLLO LOCAL 2011,,,,-4550.43
2014,45049,FONDO BIBLIOGRAFICO,,,,-8545.4
2014,45050,CURSO OPERACIONES AUXILIARES DE SERV. ADMTVOS.,,26052.0,26052.0,26052.0
2014,45051,SUVB.CURSO FORM.PROFES.OCUP.AUXILIAR ADMVO,26052.0,,26052.0,
2014,45052,CURSOS CENTRO EMPLEO,500.0,,500.0,
2014,45053,SUBV.CARM. PROYECTO MALVASIA,9915.0,,9915.0,9915.0
2014,45054,PLAN SEGURIDAD CIUDADANA UESCARM,300000.0,,300000.0,293643.0
2014,45055,FUNCIONAMIENTO CENTRO LOCAL EMPLEO,45185.71,,45185.71,45185.71
2014,45058,INTERESES CAMPO DE FUTBOL,6748.53,,6748.53,6748.53
2014,45060,CONVENIO DE PATOCINIO I.C.A.,,26000.0,26000.0,26000.0
2014,47000,CONVENIOS E.FINANCIERAS PUBLICACIONES MºABTE,25000.0,,25000.0,
2014,47002,COLABORACION EMPRESAS,,3400.0,3400.0,10150.96
2014,47003,PERSONAL URBASER (SALARIO),36694.81,,36694.81,45246.41
2014,47004,APORTACION PARAMOUNT,30000.0,,30000.0,
2014,52000,INTERESES DE DEPOSITOS,36000.0,,36000.0,29387.54
2014,54000,ALQUILER INSTALACIONES,,,,19224.98
2014,54009,ALQUILER INSTALACIONES (FRACCIONAMIENTOS),,,,3106.21
2014,54100,ALQUILER DE SUELO MPAL.,10000.0,,10000.0,4954.15
2014,54900,ALQUILER VIVIENDAS SOCIALES,,,,170.7
2014,54909,VIVIENDAS SOCIALES (FRACCIONAMIENTOS),,,,1245.48
2014,55000,CONCESIONES ADMINISTRATIVAS,13000.0,,13000.0,38247.2
2014,55201,VENTA PUBLICACIONES MEDIO AMBIENTE,2000.0,,2000.0,
2014,75002,SUBV.CARM.INSTALACIONES ENERGIA RENOVABLE,30000.0,,30000.0,
2014,75004,SUBV. OBRAS JARRO DE ORO,138253.9,,138253.9,
2014,75005,AMORTIZACION CAMPO CESPED ARTIFICAL,26818.18,,26818.18,26818.18
2014,75006,SUBV.C.A. MEJORA RED VIARIA,40000.0,,40000.0,
2014,75007,EQUIP. ESCUELA INFANTIL. PLAN EDUCA-3,70000.0,,70000.0,70000.0
2014,75008,LEADER. DESARROLLO RURAL CAMINO LOS MOLINOS,,18865.0,18865.0,
2014,75011,SUBVENC. 3 OBRAS DAÑOS POR INUNDACIONES 2012,,25796.19,25796.19,
2014,77000,COLABORACIONES P.I.T.,,2250.0,2250.0,2310.0
2014,78001,APORTACIONES MUJER,,4294.0,4294.0,3886.0
2014,78009,CUOTAS COLAB ELEC.RURAL-FLOTAS.(FRACCIONAMIENTOS),,,,4473.31
2014,87000,REMANENTE DE TESORERIA PARA GASTOS GENERALES,,40724.62,40724.62,
2014,87010,REMAN. TESORERIA PARA GASTOS CON FINANC. AFECTADA,,3792637.78,3792637.78,
#,,,21853640.13,4096170.65,25949810.78,22993646.92
