#AÑO,CODFUNCION,CODECOPART,NOMPARTIDA,Inicial,Actual,O
2017.0,130,22111,MATERIAL TECNICO Y OTROS POLICIA LOCAL,8000.0,8000.0,7756.99
2017.0,130,22188,(R.E.) COMBUSTIBLE VEHICULOS P.L.,0.0,1036.82,1036.82
2017.0,130,22199,SUMINISTROS DIVERSOS P.I.T.,2000.0,2000.0,879.55
2017.0,130,22200,SERVICIOS DE TELECOMUNICACIONES P.L.,1000.0,1000.0,28.02
2017.0,130,22300,SERVICIO AUTOBUS P.I.T.,7000.0,7000.0,6970.53
2017.0,130,22388,(R.E.) SERVICIO AUTOBUS P.I.T.,0.0,484.0,484.0
2017.0,130,22400,PRIMAS DE SEGURO ACTIVIDADES POLICIA,0.0,0.0,52.33
2017.0,130,22601,ATENCIONES PROTOCOLARIAS POLICIA LOCAL,2000.0,2000.0,3031.2
2017.0,130,22605,OTROS GASTOS DIVERSOS POLICIA LOCAL,0.0,0.0,200.0
2017.0,130,22606,IMPARTICION DE CURSOS POLICIA LOCAL,3000.0,3000.0,2013.0
2017.0,130,22609,50 ANIVERSARIO P.I.T,1500.0,1500.0,2456.3
2017.0,130,22610,GASTOS CONCURSO EDUCACION VIAL P.I.T.,0.0,2510.0,2495.78
2017.0,130,22688,(R.E.)ATENCIONES PROTOCOLARIAS P.L.,0.0,487.03,487.03
2017.0,130,22689,(R.E.) IMPARTICION CURSOS P.L.,0.0,184.0,160.0
2017.0,130,22699,GASTOS VARIOS SEGURIDAD VIAL (RADAR),1.0,1951.0,1241.46
2017.0,130,22700,LIMPIEZA EDIFICIOS POLICIA,27982.56,27982.56,25650.68
2017.0,130,22701,PRESTACION SERVICIOS CANINOS POLICIA LOCAL,5000.0,5000.0,0.0
2017.0,130,22702,SERVICIOS DE SEGURIDAD EN EVENTOS Y OTROS.,0.0,0.0,2303.84
2017.0,130,22706,SERV.  APOYO TRAMIT. PROC. JUDICIALES,1700.0,1700.0,0.0
2017.0,130,22799,SERVICIO DE DETECCION DE NARCOTICOS CON PERROS,0.0,0.0,6050.0
2017.0,130,62900,OTRAS INVERSIONES GRALES. POLICIA LOCAL,3000.0,5815.4,5719.57
2017.0,134,21200,MTO. PARKING MUNICIPAL,15000.0,9721.4,982.53
2017.0,134,21288,(R.E.) MTO. PARKING MUNICIPAL,0.0,666.99,666.99
2017.0,134,21300,"ORDENACION DEL TRAFICO, SEMAFOROS Y SEÑALIZ. VIAL",40000.0,40000.0,54150.8
2017.0,134,21388,"(R.E.) ORDENAC. DEL TRAFICO, SEMAFOROS Y SEÑALIZAC",0.0,44.18,44.18
2017.0,134,22701,RETIRADA VEHICULOS VIA PUBLICA,35000.0,32184.6,23281.87
2017.0,134,22702,CTO.  GESTION PARKING MUNICIPAL,46000.0,46000.0,45375.0
2017.0,134,22788,(R.E.) RETIRADA DE VEHICULOS DE LA VIA PUBLICA,0.0,1524.48,1524.48
2017.0,134,60900,APARCAMIENTOS BICI/MOTOS,4830.3,18830.3,0.0
2017.0,134,62600,RENOVAC. SIST. CONTROL ACCESOS Y OTROS PARKING,30000.0,17903.01,15878.84
2017.0,134,62900,INVERSION  EN BALIZAS SOLARES Y OTRAS SEÑALIZ.,10000.0,15278.6,8414.11
2017.0,135,21200,MANTENIMIENTO EDIFICIO PROTECCION CIVIL,0.0,0.0,0.0
2017.0,135,21300,MATERIAL TECNICO PROTEC. CIVL,1810.0,1810.0,0.0
2017.0,135,21400,MTO. VEHICULOS PROT. CIVIL,3200.0,3200.0,3496.1
2017.0,135,22103,COMBUSTIBLE VEHICULOS PROT. CIVIL,1464.0,1464.0,1042.33
2017.0,135,22104,VESTUARIO PROTEC. CIVIL,2000.0,2000.0,0.0
2017.0,135,22188,(R.E.) COMBUSTIBLE VEHICULOS PROTEC. CIVIL,0.0,104.52,104.52
2017.0,135,22601,ATENCIONES PROTOCOLARIAS PROTECC. CIVIL,3700.0,3700.0,3327.26
2017.0,135,22606,CURSOS Y FORMACION PROTEC. CIVIL,2000.0,2000.0,0.0
2017.0,135,22609,PLANES ACTUACION PROTEC. CIVIL,2500.0,2500.0,699.0
2017.0,135,48000,SORTEO PROTECCION CIVIL,300.0,300.0,279.0
2017.0,135,62500,INVERSIONES PROTEC. CIVIL,1000.0,1000.0,0.0
2017.0,136,46700,CONSORCIO EXTINCION DE INCENDIOS,230788.81,230788.81,230788.81
2017.0,150,12000,RETRIBUCIONES BASICAS URBANISMO-A1,45612.35,45612.35,45420.14
2017.0,150,12001,RETRIBUCIONES BASICAS URBANISMO-A2,97965.88,97965.88,108868.32
2017.0,150,12003,RETRIBUCIONES BASICAS URBANISMO-C1,74133.24,74133.24,74750.62
2017.0,150,12004,RETRIBUCIONES URBANISMO-C2,27662.4,22697.0,14659.6
2017.0,150,12100,COMPLEMENTO DESTINO URBANISMO,143865.9,143865.9,108624.97
2017.0,150,12101,COMPLEMENTO ESPECIFICO URBANISMO,180679.06,180679.06,136055.85
2017.0,150,13100,PERS. LABORAL TEMPORAL URBANISMO,13525.64,13525.64,11038.44
2017.0,150,15000,PRODUCTIVIDAD FUNCIONARIOS URBANISMO,21371.96,21371.96,30762.79
2017.0,150,15001,PRODUCTIVIDAD LABORALES URBANISMO,507.21,507.21,1313.94
2017.0,150,16000,SEGURIDAD SOCIAL FUNCIONARIOS URBANISMO,144349.18,144349.18,132200.58
2017.0,150,16001,SEGURIDAD SOCIAL PERS. LABORAL URBANISMO,4341.73,4341.73,1470.78
2017.0,151,21000,"MTO. CONSERV.  E. PUBLICOS, INFRAE. Y ACCESIBILIDA",50000.0,41788.99,35749.36
2017.0,151,21088,"(R.E.) MTO. Y CONSERVAC. EDIFICIOS, INFRAESTRUCC.",0.0,59.08,59.08
2017.0,151,21200,CUOTA MTO. EDIFICIOS Y OTRAS INSTALACIONES,2000.0,2000.0,6242.33
2017.0,151,21288,(R.E.) CUOTA MTO. COMUNIDAD DE EDIFICIOS PUBLICOS,0.0,2001.58,2001.58
2017.0,151,21300,MTO. MAQUINARIA URBANISMO,500.0,500.0,458.59
2017.0,151,21400,MANTENIMIENTO VEHICULOS OFICINA TECNICA,0.0,0.0,106.73
2017.0,151,22000,SUMISTRO CARTELERIA LICENCIAS OBRAS,9000.0,9000.0,4803.7
2017.0,151,22103,COMBUSTIBLE VEHICULOS URBANISMO,4000.0,4000.0,4295.44
2017.0,151,22111,MATERIAL TECNICO Y ESPECIAL URBANISMO,3000.0,3000.0,598.95
2017.0,151,22188,(R.E.) COMBUSTIBLE VEHICULOS URBANISMO Y OTROS,0.0,257.93,257.93
2017.0,151,22500,TASAS TRAMITAC. EXPEDIENTES Y OTROS URBANISMO,0.0,0.0,1835.88
2017.0,151,22601,ATENCIONES PROTOCOLARIAS URBANISMO,0.0,0.0,201.5
2017.0,151,22602,PUBLICIDAD Y PUBLICACIONES URBANISMO,0.0,0.0,713.9
2017.0,151,22609,INFRAESTRUCTURAS DIVERSOS EVENTOS,1000.0,1000.0,0.0
2017.0,151,22610,"PODA, FUMIGACIONES, ARBOLADO EN ESPACIOS PUBLICOS",0.0,0.0,7561.36
2017.0,151,22699,GASTOS DIVERSOS URBANISMO,6000.0,6000.0,0.0
2017.0,151,22701,DEMOLICION DE EDIFICIOS,15000.0,15000.0,0.0
2017.0,151,22702,TRABAJOS TECNICOS DE PROFESIONALES,8000.0,8000.0,0.0
2017.0,151,22706,"PROYECTOS, ESTUDIOS Y TRABAJOS TECNICOS",80000.0,190000.0,161163.44
2017.0,151,22799,PROYECTOS OBRAS DE EJECUCION SUBSIDIARIA,3000.0,3000.0,0.0
2017.0,151,24001,"CARTELERIA, MUPIS, ROLL-UP Y OTROS ",0.0,0.0,174.24
2017.0,151,48000,CONVENIO COLABORACION ENTIDAD URBANISTICA CONDADO,17500.0,11500.0,11500.0
2017.0,151,60000,OBRAS DE EJECUCION SUBSIDIARIA,1.0,58481.65,58478.71
2017.0,151,60001,OBRAS DE EJECUCION SUBSIDIARIA B.M.N.,0.0,2375373.28,597710.75
2017.0,151,60090,REINCORPORACION A PMS,0.0,17386.67,17386.67
2017.0,151,60091,VIAL ACCESO A Bº. LOS DOLORES. REINCORP. A PMS,0.0,1399834.3,0.0
2017.0,151,60092,PRESUPUESTOS PARTICIPATIVOS. REINCORP. A PMS,0.0,338453.38,42977.88
2017.0,151,60100,ADECUAC. TERRENOS P.G.M.O. SUELO URBANO- EL JINETE,0.0,44345.15,44345.15
2017.0,151,60961,ACTUACIONES EN P.P. LOS SECANOS,0.0,103354.46,0.0
2017.0,151,62500,ACTUACIONES PARA CALIDAD URBANA,0.0,40000.0,22220.95
2017.0,151,62700,BALNEARIO E INFRAESTRUCTURAS,0.0,1800000.0,0.0
2017.0,151,62900,ALHAMA + MEJORA Y PAVIM. PLAT. UNICA C/ PARRICAS,0.0,694421.0,0.0
2017.0,151,62901,ALHAMA + AMPLIACION POLIDEPORTIVO EL PRAICO,0.0,250000.0,0.0
2017.0,151,62902,ALHAMA + CAMBIO DE LUMINARIAS ANTIGUAS A EFICIENTE,0.0,200146.25,0.0
2017.0,151,62903,OBRAS PARA MEJORA DE ESPAC. PUBL. E INFRAESTRUCTUR,0.0,9517.81,4794.93
2017.0,1532,13101,PEONES AGRICOLAS CONSEJOS COMARCALES 2016,0.0,42797.6,44171.11
2017.0,1532,13102,RETRIB. PEONES AGRICOLAS CONS. COMARC. 2017,0.0,99126.22,32122.41
2017.0,1532,16001,SEGUROS SOCIALES PEONES AGRICOLAS C.C. 2016,0.0,13312.96,19714.44
2017.0,1532,16003,SEGURIDAD SOCIAL PEONES AGRICOLAS CONS. COM. 2017,0.0,30793.72,5729.0
2017.0,1532,21000,MTO. VIAS PUBLICAS,59000.0,57693.2,35093.79
2017.0,1532,21001,MATERIALES CONSEJOS COMARCALES 2017,16000.0,17452.0,1232.08
2017.0,1532,21002,"CONSERV. Y MTO. CTRAS. N-340, RM-515 Y RM-608",15000.0,15000.0,0.0
2017.0,1532,21003,MTO. ESPACIOS PUBLICOS. CONSEJOS COMARCALES 2016,0.0,0.0,19.64
2017.0,1532,22103,COMBUSTIBLE VEHICULOS Y MAQUINARIA VIA PUBLICA,0.0,0.0,175.48
2017.0,1532,22104,LIMPIEZA Y TRAT. FITOSANIT. SOLARES,7500.0,7500.0,2238.5
2017.0,1532,60100,PAVIMENTAC. Y OTR. EN ESPACIOS Y VIAS PUBLICAS,0.0,60000.0,34583.01
2017.0,1602,22501,CANON SANEAMIENTO-ESAMUR,16000.0,16000.0,28316.59
2017.0,1602,22502,CANON CONTROL VERTIDOS-CONFEDERACION HIDROGRAFICA,3000.0,3000.0,0.0
2017.0,1602,60970,ACTUAC. PARA PREVENCION DAÑOS POR LLUVIAS,0.0,79000.0,484.0
2017.0,161,22101,SUMINISTRO AGUA POTABLE,2800000.0,3605057.5,3605057.5
2017.0,161,60900,RENOVACION RED ABASTECIM. A PEDANIAS Y C/ ALHAMA,0.0,360000.0,0.0
2017.0,161,60901,INVERSION EN REDES ABASTECIMIENTO Y SANEAMIENTO,0.0,30000.0,0.0
2017.0,1621,22699,"ELIMINACION, LIMPIEZA, REGENERACION VERTEDEROS",15000.0,15000.0,0.0
2017.0,1621,22700,RECOGIDA Y CONTROL ANIMALES VIA PUBLICA,9600.0,9600.0,11101.75
2017.0,1621,22701,RECOGIDA Y RETIRADA DE ENSERES DE LA V.P.,17820.0,17820.0,15906.0
2017.0,1621,22702,CONTROL DE LA AVIFAUNA,4416.6,4416.6,2430.1
2017.0,1621,22703,R.R.S.U. - FOMENTO,1072019.75,1072019.75,1072019.76
2017.0,1621,22788,(R.E.) RECOGIDA Y CONTROL ANIMALES VIA PUBLICA,0.0,72.6,72.6
2017.0,1621,22789,(R.E.) CONTROL DE LA AVIFAUNA,0.0,368.05,368.05
2017.0,1621,62900,INVERSIONES EN RECOGIDAS Y GESTION,100.0,100.0,0.0
2017.0,1622,22701,GESTION DE R.S.U. - FOMENTO,268979.07,268979.07,289906.86
2017.0,1622,22702,GESTION RESIDUOS SELECTIVOS Y ECOPARQUE-S.G.R.,23000.0,23000.0,11882.07
2017.0,1622,22703,RECOGIDA SELECTIVA RESIDUOS BIOSANITARIOS AGRICULT,600.0,600.0,148.5
2017.0,1622,22788,(R.E.) GESTION DE RESIDUOS SELECT. Y ECOPARQUE,0.0,3745.36,3745.36
2017.0,1622,22799,GESTION RESIDUOS VEGETALES EN JARDINES,3000.0,3000.0,1980.0
2017.0,163,22700,SERVICIO LIMPIEZA VIARIA,721276.93,721276.93,721276.92
2017.0,163,62900,INVERSIONES EN LIMPIEZA VIARIA,100.0,100.0,0.0
2017.0,165,20300,INSTALACIONES ELECTRICAS ACTOS EVENTUALES,72479.0,72479.0,74354.5
2017.0,165,21300,MTO. ALUMBRADO GENERAL,80000.0,57837.9,78464.56
2017.0,165,21301,REP. ALUMBRADO PUBLICO POR ROBO Y VANDALISMO,20000.0,0.0,0.0
2017.0,165,21388,(R.E.) MAANTENIMIENTO ALUMBRADO,0.0,4072.78,4072.78
2017.0,165,22100,ENERGIA ELECTRICA ALUMBRADO PUBLICO,549000.0,549000.0,474352.61
2017.0,165,22501,TASAS ALUMBRADO PUBLICO,3500.0,3500.0,807.7
2017.0,165,60900,EFICIENCIA ENERGETICA Bº. LOS DOLORES -POS 2015,0.0,53169.2,34667.84
2017.0,165,60901,PARDOS 2016: MEJORA EFIC. ENERGETICA BO. S. PEDRO,0.0,344824.0,0.0
2017.0,165,60902,POS 2017-MEJORA EFIC. ENERG. RAMBLA D. DIEGO Y OTR,0.0,40480.0,0.0
2017.0,165,60970,INVERSIONES EN EFICIENCIA ENERGETICA,0.0,120000.0,23041.38
2017.0,165,62900,INVERSIONES EN ALUMBRADO,0.0,22162.1,22162.08
2017.0,170,12001,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-A2,13035.6,13035.6,0.0
2017.0,170,12003,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-C1,30902.43,30902.43,30685.64
2017.0,170,12004,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-C2,29020.47,29020.47,13753.54
2017.0,170,12005,RETRIB. BASICAS M.AMBIENTE Y P.JARDINES-E,28489.8,28489.8,39678.84
2017.0,170,12100,COMPLEMENTO DESTINO M.AMBIENTE Y P.JARDINES,49877.85,49877.85,31201.46
2017.0,170,12101,COMPL. ESPECIFICO M.AMBIENTE Y P.JARDINES,75878.99,75878.99,46460.61
2017.0,170,13000,PERS. LABORAL FIJO M.AMBIENTE Y P.JARDINES,39268.6,39268.6,43189.06
2017.0,170,13100,PERS. LABORAL TEMP. M.AMBIENTE Y P.JARDINES,2342.37,2342.37,6908.24
2017.0,170,15000,PRODUCT. FUNCIONARIOS M.AMBIENTE Y P.JARDINES,7396.27,7396.27,16285.12
2017.0,170,15001,PRODUCTIV. LABORALES M.AMBIENTE Y P.JARDINES,1472.57,1472.57,7101.47
2017.0,170,16000,SEG. SOCIAL FUNCIONAR. M.AMBIENTE Y P.JARDINES,63365.18,63365.18,49794.57
2017.0,170,16001,SEG. SOCIAL. LABORAL M.AMBIENTE Y P.JARDINES,14509.13,14509.13,16277.11
2017.0,1711,12001,RETRIBUCIONES BASICAS FUNCIONARIOS A2 T.E.,0.0,18442.11,15765.89
2017.0,1711,12100,COMPLEMENTO DESTINO FUNCIONARIOS T.E.,0.0,8621.05,7732.83
2017.0,1711,12101,COMPLEMENTO ESPECIFICO FUNCIONARIOS T.E.,0.0,9955.38,6460.2
2017.0,1711,13100,RETRIBUCIONES ALUMNOS T.E.,0.0,121141.44,79485.59
2017.0,1711,15000,PRODUCTIVIDAD FUNCIONARIOS T.E.,0.0,1030.87,682.48
2017.0,1711,16000,SEGURIDAD SOCIAL FUNCIONARIOS T.E.,0.0,11502.0,9136.78
2017.0,1711,16001,SEGURIDAD SOCIAL ALUMNOS T.E.,0.0,6041.88,3672.02
2017.0,1711,21000,MTO. GRAL. PARQUES,20000.0,20000.0,9036.42
2017.0,1711,21001,CTO. MTO. Y LIMPIEZA PARQUES,20000.0,20000.0,0.0
2017.0,1711,21002,TRABAJOS JARDINERIAS ZONAS VERDES-PARQUES,24775.4,38369.0,12309.65
2017.0,1711,21300,MTO. JUEGOS INFANTILES EN PARQUES,10000.0,10000.0,3940.26
2017.0,1711,22105,ALIMENTOS PARA PAJARERA DEL PARQUE LA CUBANA,0.0,0.0,128.25
2017.0,1711,22699,FUMIGACION Y PODAS EN PARQUES,10000.0,10000.0,28206.86
2017.0,1711,22701,ESTUDIO SITUAC. DE SEGURIDAD EN JUEGOS INFANTILES,0.0,0.0,2134.44
2017.0,1711,60900,"PASEO LA CUBANA, AMPLIACION PARQUE LA CUBANA",0.0,256000.0,0.0
2017.0,1711,62300,EQUIPAMIENTO EN PARQUES,6000.0,6000.0,2573.07
2017.0,1712,21000,MTO. GRAL JARDINES,20000.0,18413.8,9914.37
2017.0,1712,21001,CTO. MTO. Y LIMPIEZA JARDINES,180000.0,180000.0,146673.45
2017.0,1712,21002,CTO. MTO. ZONAS VERDES FCC,115446.61,115446.61,115446.6
2017.0,1712,21003,MANTENIMIENTO VIVERO MUNICIPAL,0.0,0.0,387.2
2017.0,1712,21300,MTO. JUEGOS INFANTILES EN JARDINES,10000.0,10000.0,308.91
2017.0,1712,22103,COMBUSTIBLE MAQUINARIA PARQUES Y JARDINES,0.0,0.0,124.21
2017.0,1712,22699,FUMIGACION Y PODAS EN JARDINES,10000.0,10000.0,6047.06
2017.0,1712,22700,ESTUDIOS Y TRABAJOS TECN. JUEGOS INFANTILES,15000.0,2000.0,0.0
2017.0,1712,22702,SERV. PROF. ING. TECNICO AGRICOLA,16443.91,16443.91,16443.91
2017.0,1712,22706,ESTUDIOS TECNICOS Y PROYECTOS EN ZONAS VERDES,0.0,0.0,11056.64
2017.0,1712,62300,EQUIP. JARDINES Y PIPICAN,54000.0,54000.0,30828.38
2017.0,1721,21300,MTO. PARQUE MOVIL BICIALHAMA,4000.0,4000.0,3982.5
2017.0,1721,22602,CAMPAÑAS SENSIBIL. USO TRANSP. PUBLICO,1200.0,1200.0,0.0
2017.0,1721,22609,PROGRAMA BICIALHAMA EN FAMILIA,6000.0,0.0,0.0
2017.0,1721,62400,PLAN DE MEJORA CALIDAD DEL AIRE,5000.0,0.0,0.0
2017.0,1722,21000,MANTENIMIENTO Y SEÑALIZ. SENDAS,0.0,0.0,1332.52
2017.0,1722,21688,(R.E.) ACTUALIZAC. BASE DATOS CENSO MICROCHIPS,0.0,571.65,571.65
2017.0,1722,22100,ENERGIA ELECTRICA EDIFICIOS MED. AMBIENTE,1550.0,1550.0,1590.43
2017.0,1722,22300,TRANSPORTE PARA REALIZAC. ACTIV. MED. AMBIENTE,0.0,0.0,0.0
2017.0,1722,22400,SEGUROS CONCEJALIA MED. AMBIENTE,1000.0,1000.0,206.53
2017.0,1722,22601,ATENCIONES PROTOCOLARIAS CONC. MEDIO AMBIENTE,0.0,0.0,853.61
2017.0,1722,22602,CAMPAÑAS INFORMATIVAS MED. AMBIENTE,500.0,500.0,0.0
2017.0,1722,22606,ACTIV. SENSIBILIZAC. EN MATERIA DE RECICLAJE Y M.A,0.0,0.0,532.4
2017.0,1722,22609,"SENDALHAMA, SENDERISMO INTERPRETATIVO",6000.0,6000.0,2816.2
2017.0,1722,22699,GTOS. CORRIENTES AGRICULTURA,2000.0,2000.0,0.0
2017.0,1722,22703,CATALOGO DE ARBOLES Y ARBOLEDAS,1000.0,1000.0,0.0
2017.0,1722,22706,ACTUAC. PARCELAS MPALES. INTERES NATURAL,31500.0,31500.0,10594.81
2017.0,1722,22788,(R.E.) MTO. HUERTOS ECOLOGICOS FAMILIARES,0.0,249.76,249.76
2017.0,1722,22799,MTO. HUERTOS ECOLOGICOS FAMILIARES,10000.0,10000.0,3048.74
2017.0,1722,24000,EDICIONES Y DIVULGACION MED. AMBIENTAL,9000.0,9000.0,1839.2
2017.0,1722,48000,"CONVENIO H. E. F. ""LA ALMAJARA""",3510.0,3510.0,3510.0
2017.0,1722,48001,"CONVENIO ACCIONES MALVASIA ""MELES""",2000.0,2000.0,0.0
2017.0,1722,48002,SUBV. ACTIVIDADES MEDIOAMBIENTALES,7000.0,7000.0,2198.6
2017.0,1722,62101,CREACION SENDEROS ECOTURISTICOS,4000.0,4000.0,3623.95
2017.0,1722,62304,PROYECTO MEDEEA,15000.0,0.0,0.0
2017.0,221,16009,ACCIDENTE Y COMPLEMENTO ACCIDENTE,65000.0,65000.0,200268.64
2017.0,221,16104,INDEMNIZACION POR JUBILACION,16811.7,16811.7,4442.3
2017.0,221,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,15025.3,15025.3,6029.04
2017.0,221,16204,ACCION SOCIAL,20000.0,20000.0,5860.98
2017.0,221,16400,COMPLEMENTO FAMILIAR,3000.0,3000.0,0.0
2017.0,2310,12000,RETRIB. BASICAS S.SOCIALES-A1,24516.81,24516.81,10793.8
2017.0,2310,12001,RETRIB. BASICAS S.SOCIALES-A2,61404.9,61404.9,38753.38
2017.0,2310,12003,RETRIB. BASICAS S.SOCIALES-C1,4991.91,4991.91,0.0
2017.0,2310,12004,RETRIB. BASICAS S.SOCIALES-C2,20211.06,20211.06,22819.89
2017.0,2310,12100,COMPLEMENTO DESTINO S.SOCIALES,60081.99,60081.99,31748.77
2017.0,2310,12101,COMPLEMENTO DESTINO S.SOCIALES,65983.99,65983.99,32401.8
2017.0,2310,13100,PERSONAL LABORAL TEMPORAL S.SOCIALES,147699.54,147699.54,148316.55
2017.0,2310,15000,PRODUCTIVIDAD FUNCIONARIOS S.SOCIALES,8894.65,8894.65,5064.42
2017.0,2310,15001,PRODUCTIVIDAD LABORALES S.SOCIALES,5538.73,5538.73,12740.13
2017.0,2310,16000,SEGURIDAD SOCIAL FUNCIONARIOS S.SOCIALES,62826.7,62826.7,37286.08
2017.0,2310,16001,SEGURIDAD SOCIALES PERSONAL LABORAL S.SOCIALES,47411.56,47411.56,55924.12
2017.0,2310,21200,MTO. CENTROS SERVICIOS SOCIALES,500.0,500.0,911.61
2017.0,2310,21288,(R.E.) MTO. CENTROS SERVICIOS SOCIALES,0.0,26.04,26.04
2017.0,2310,21400,MANTENIMIENTO VEHICULO CENTRO PSICOSOCIAL,0.0,0.0,456.98
2017.0,2310,22000,MATERIAL OFICINA SERVICIOS SOCIALES,500.0,500.0,279.85
2017.0,2310,22100,ENERGIA ELECTRICA EDIFICIOS S.SOCIALES,18300.0,18300.0,23348.3
2017.0,2310,22105,"PROD. ALIMENTICIOS, ENVASES, COMIDA Y AGUA",2800.0,2800.0,1968.67
2017.0,2310,22188,"(R.E.) PRODUCT. ALIMENT., ENVASES, COMIDA, AGUA",0.0,294.03,294.03
2017.0,2310,22601,ATENCIONES PROTOCOLARIAS CONCEJALIA SERV. SOC.,0.0,0.0,354.8
2017.0,2310,22602,CAMPAÑA INFORM. PREVENCION ABSENTISMO ESCOLAR,2000.0,2000.0,1502.4
2017.0,2310,22605,ITINERARIOS INFORM. Y ORIENTAC. INSERCCION SOCIAL,55000.0,52191.73,39678.96
2017.0,2310,22608,GASTOS POR DECESOS,1000.0,1000.0,0.0
2017.0,2310,22609,ACTIVIDADES VOLUNTARIADO,5000.0,5000.0,2351.24
2017.0,2310,22699,ALOJAMIENTO TEMPORAL SITUACIONES CRITICAS,1000.0,1000.0,0.0
2017.0,2310,22700,LIMPIEZA EDIFICIOS S.SOCIALES,27951.6,27951.6,25622.3
2017.0,2310,22704,CONTRATO TRADUCTOR/MEDIADOR,29500.0,23620.88,24993.47
2017.0,2310,22705,CONTRATO SERVICIO VOLUNTARIADO,17858.94,17858.94,17859.0
2017.0,2310,22706,CTO. SERVICIO CENTRO ATENCION PSICOSOCIAL,100000.0,100000.0,98849.88
2017.0,2310,22707,CTO. SERVICIO AYUDA A DOMICILIO (SAD),47000.0,49656.93,47265.26
2017.0,2310,22708,CTO. TELEASISTENCIA,32000.0,32000.0,30321.53
2017.0,2310,22709,"SERVICIO DE AYUDA A DOMICILIO, DEPENDENCIA (SAAD)",0.0,102178.52,77871.25
2017.0,2310,22799,CTO. SERVICIO COMIDAS A DOMICILIO,14000.0,14000.0,0.0
2017.0,2310,48003,PRESTACION APOYO FAMILIAR REINSERCION SOCIAL,90000.0,110000.0,90292.21
2017.0,2310,48004,PRESTACIONES A FAMILIAS CON MENORES,60000.0,40000.0,38434.81
2017.0,2310,48005,DESPLAZAMIENTO TRANSEUNTES C.A.D,500.0,500.0,0.0
2017.0,2310,48006,SUBVENCIONES ASOCIACIONES Y ONG`S,18000.0,17351.89,16799.4
2017.0,2310,48007,SUBVENCION CRUZ ROJA-AYUDAS URGENTE NECESIDAD,25000.0,32500.0,32500.0
2017.0,2310,48008,AYUDAS DE URGENTE NECESIDAD,0.0,648.11,648.11
2017.0,2310,62500,EQUIPAMIENTO CENTRO SERVICIOS SOCIALES,1500.0,2170.0,2169.57
2017.0,2310,62501,EQUIPAMIENTO VIVIENDA COLECTIVA,2500.0,4851.15,4573.56
2017.0,2310,62502,EQUIPAMIENTO PARA PERSONAS CON GRAN DISCAPACIDAD,0.0,7000.0,6595.59
2017.0,2311,13100,PERSONAL LABORAL TEMPORAL C.ATENCION TEMPRANA,31862.15,31862.15,32153.99
2017.0,2311,15001,PRODUCTIVIDAD LABORALES C.ATENCION TEMPRANA,1194.83,1194.83,2900.19
2017.0,2311,16001,SEG. SOCIAL PERSONAL LABORAL C.ATENCION TEMPRANA,10227.75,10227.75,11125.9
